試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2020-10-17,久光スプリングス,デンソーエアリービーズ,1,,長岡望悠,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-10-17,久光スプリングス,デンソーエアリービーズ,2,,井上美咲,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,1,0.33,16,1,2,7,14.1,0,0,0,-,2
2020-10-17,久光スプリングス,デンソーエアリービーズ,4,,岩坂名奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-10-17,久光スプリングス,デンソーエアリービーズ,5,,井上愛里沙,3,■,■,■,nan,nan,49,17,2,34.7,30.6,5.67,1,0,0,0.0,2,0.67,11,0,1,4,6.8,12,4,2,41.7,19
2020-10-17,久光スプリングス,デンソーエアリービーズ,6,,石井優希,3,■,■,■,nan,nan,45,18,0,40.0,40.0,6.00,3,1,0,33.3,2,0.67,14,1,0,6,17.9,9,2,1,27.8,21
2020-10-17,久光スプリングス,デンソーエアリービーズ,7,,加藤光,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0,0,-,0
2020-10-17,久光スプリングス,デンソーエアリービーズ,10,,座安琴希,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,6,5,1,91.7,0
2020-10-17,久光スプリングス,デンソーエアリービーズ,11,,栄絵里香,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-,0
2020-10-17,久光スプリングス,デンソーエアリービーズ,12,,今村優香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-10-17,久光スプリングス,デンソーエアリービーズ,14,,中川美柚,3,■,■,■,nan,nan,19,6,1,31.6,26.3,2.00,0,0,0,-,0,-,16,1,1,4,10.9,13,2,3,26.9,7
2020-10-17,久光スプリングス,デンソーエアリービーズ,16,,アキンラデウォフォルケ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-10-17,久光スプリングス,デンソーエアリービーズ,17,,濱松明日香,3,■,■,■,nan,nan,18,9,0,50.0,50.0,3.00,0,0,0,-,2,0.67,6,0,1,3,8.3,0,0,0,-,11
2020-10-17,久光スプリングス,デンソーエアリービーズ,18,L,戸江真奈,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,24,14,2,62.5,0
2020-10-17,久光スプリングス,デンソーエアリービーズ,20,,荒木彩花,3,■,■,■,nan,nan,7,0,0,0.0,0.0,-,0,0,0,-,0,-,6,0,1,2,4.2,2,0,1,25.0,0
2020-10-17,久光スプリングス,デンソーエアリービーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,139,50,3,36.0,33.8,16.67,4,1,0,25.0,7,2.33,76,3,6,27,10.9,66,27,10,48.5,60
