試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2005-09-24,久光製薬スプリングス,1,,野田昌代,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2005-09-24,久光製薬スプリングス,2,,成田郁久美,3,■,■,■,nan,nan,9,1,1,0.1111111111111111,0.0,0.33,0,0,0,-,0,-,14,1,4,6,16.4,33,24,0,72.7
2005-09-24,久光製薬スプリングス,3,,落合真理,3,■,■,■,nan,nan,22,6,0,0.2727272727272727,0.2727272727272727,2.00,3,0,0,0.0,1,0.33,8,0,0,2,6.2,2,1,0,50.0
2005-09-24,久光製薬スプリングス,4,,先野久美子,3,■,■,■,nan,nan,20,9,0,0.45,0.45,3.00,0,0,0,-,0,-,10,0,1,2,5.0,1,0,0,0.0
2005-09-24,久光製薬スプリングス,5,,小山修加,2,nan,□,□,nan,nan,2,1,0,0.5,0.5,0.50,1,0,0,0.0,0,-,5,1,0,1,21.0,0,0,0,-
2005-09-24,久光製薬スプリングス,6,,青木絢子,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2005-09-24,久光製薬スプリングス,8,,大村加奈子,3,■,■,■,nan,nan,21,9,0,0.42857142857142855,0.42857142857142855,3.00,0,0,0,-,1,0.33,8,1,3,0,10.0,0,0,0,-
2005-09-24,久光製薬スプリングス,10,,鶴田桂子,3,■,■,■,nan,nan,4,2,0,0.5,0.5,0.67,0,0,0,-,0,-,7,0,0,2,7.1,0,0,0,-
2005-09-24,久光製薬スプリングス,11,,カルカセスケニア,3,■,■,■,nan,nan,41,21,5,0.5121951219512195,0.3902439024390244,7.00,11,8,2,72.7,1,0.33,11,2,3,3,25.0,0,0,0,-
2005-09-24,久光製薬スプリングス,12,,渡辺真由美,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-
2005-09-24,久光製薬スプリングス,14,L,吉田あい,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,26,16,0,61.5
2005-09-24,久光製薬スプリングス,17,,橋本直子,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,8,3,1,2,43.8,0,0,0,-
2005-09-24,久光製薬スプリングス,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,119,49,6,0.4117647058823529,0.36134453781512604,16.33,15,8,2,53.3,3,1.00,74,8,12,18,16.1,62,41,0,66.1
2005-09-24,デンソーエアリービーズ,1,,眞恵子,1,nan,□,nan,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,1,1.00,0,0,0,0,-,0,0,0,-
2005-09-24,デンソーエアリービーズ,6,,横山雅美,3,■,■,■,nan,nan,3,1,0,0.3333333333333333,0.3333333333333333,0.33,0,0,0,-,1,0.33,11,0,0,2,4.5,0,0,0,-
2005-09-24,デンソーエアリービーズ,7,,上田かおり,3,■,■,■,nan,nan,9,5,0,0.5555555555555556,0.5555555555555556,1.67,0,0,0,-,0,-,10,0,0,4,10.0,1,1,0,100.0
2005-09-24,デンソーエアリービーズ,8,,井上香織,2,■,■,nan,nan,nan,7,0,0,0.0,0.0,-,0,0,0,-,0,-,4,0,0,0,0.0,0,0,0,-
2005-09-24,デンソーエアリービーズ,9,L,櫻井由香,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,15,0,71.4
2005-09-24,デンソーエアリービーズ,10,,木村智香子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2005-09-24,デンソーエアリービーズ,11,,渡部有香,3,■,■,■,nan,nan,22,8,3,0.36363636363636365,0.22727272727272727,2.67,0,0,0,-,1,0.33,12,0,1,8,16.7,0,0,0,-
2005-09-24,デンソーエアリービーズ,13,,松下友香,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
2005-09-24,デンソーエアリービーズ,14,,岡野知子,3,■,■,■,nan,nan,25,9,4,0.36,0.2,3.00,0,0,0,-,1,0.33,11,0,0,4,9.1,26,15,0,57.7
2005-09-24,デンソーエアリービーズ,15,,古舘歩,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,1,0,0,0.0
2005-09-24,デンソーエアリービーズ,16,,矢野美子,1,nan,nan,■,nan,nan,4,3,0,0.75,0.75,3.00,0,0,0,-,1,1.00,2,0,1,0,0.0,0,0,0,-
2005-09-24,デンソーエアリービーズ,18,,細田絵理,3,■,■,■,nan,nan,24,10,1,0.4166666666666667,0.375,3.33,0,0,0,-,1,0.33,12,0,2,3,6.2,8,5,0,62.5
2005-09-24,デンソーエアリービーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,96,36,8,0.375,0.2916666666666667,12.00,0,0,0,-,6,2.00,66,0,4,21,8.0,57,36,0,63.2
2005-09-24,東レアローズ,1,,向井久子,4,■,■,■,■,nan,32,13,1,0.40625,0.375,3.25,2,1,0,50.0,0,-,18,0,0,9,12.5,22,13,0,59.1
2005-09-24,東レアローズ,2,,小玉佐知子,4,■,■,■,■,nan,1,0,1,0.0,-1.0,-,0,0,0,-,0,-,10,0,0,6,15.0,0,0,0,-
2005-09-24,東レアローズ,4,,芝田安希,2,nan,nan,□,□,nan,4,2,0,0.5,0.5,1.00,0,0,0,-,1,0.50,1,0,0,0,0.0,0,0,0,-
2005-09-24,東レアローズ,5,,西脇万里子,4,■,■,■,■,nan,20,9,3,0.45,0.3,2.25,0,0,0,-,1,0.25,19,0,2,6,7.9,0,0,0,-
2005-09-24,東レアローズ,8,,冨田寧寧,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2005-09-24,東レアローズ,12,,大山加奈,4,■,■,■,■,nan,36,15,1,0.4166666666666667,0.3888888888888889,3.75,3,0,0,0.0,2,0.50,15,1,1,8,20.0,15,7,0,46.7
2005-09-24,東レアローズ,13,,荒木絵里香,4,■,■,■,■,nan,22,8,3,0.36363636363636365,0.22727272727272727,2.00,0,0,0,-,5,1.25,12,1,0,6,20.8,0,0,0,-
2005-09-24,東レアローズ,14,L,濱口華菜里,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,15,0,83.3
2005-09-24,東レアローズ,15,,中道瞳,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2005-09-24,東レアローズ,16,,大山未希,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
