名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ウォレスマルティンス,02,堺ブレイザーズ,18,11,119,57,8,47.9,41.2,53,24,6,3,41,2,10,14,1,1,0,62,45.3,5.2,0.3,7.3,100.0
ウォレスマルティンス,03,堺ブレイザーズ,18,9,107,48,7,44.9,38.3,48,14,5,4,31,0,6,15,0,0,0,52,29.2,5.3,0.4,7.3,
エスコバルヤドリアン,02,サントリーサンバーズ,4,12,147,92,12,62.6,54.4,82,55,6,0,63,5,9,31,4,2,0,97,67.1,7.7,0.0,16.7,50.0
エスコバルヤドリアン,03,サントリーサンバーズ,4,9,127,71,7,55.9,50.4,49,31,2,4,26,1,11,7,0,0,0,76,63.3,7.9,0.4,0.0,
オムルチェンイゴール,02,豊田合成トレフェルサ,15,14,183,101,13,55.2,48.1,85,47,8,9,48,0,12,23,2,1,0,110,55.3,7.2,0.6,5.7,50.0
オムルチェンイゴール,03,豊田合成トレフェルサ,15,3,30,17,0,56.7,56.7,15,10,0,1,14,3,5,5,0,0,0,21,66.7,5.7,0.3,21.4,
カジースキマテイ,02,ジェイテクトSTINGS,1,12,127,55,7,43.3,37.8,28,15,4,1,60,7,14,20,95,60,0,63,53.6,4.6,0.1,14.2,63.2
カジースキマテイ,03,ジェイテクトSTINGS,1,8,68,37,2,54.4,51.5,12,4,0,1,32,4,11,15,33,15,0,42,33.3,4.6,0.1,15.6,45.5
クビアクミハウ,02,パナソニックパンサーズ,13,11,88,37,14,42.0,26.1,13,4,3,4,40,1,10,14,75,35,0,42,30.8,3.4,0.4,5.0,46.7
クビアクミハウ,03,パナソニックパンサーズ,13,8,79,31,3,39.2,35.4,13,5,0,1,35,4,6,17,50,26,0,36,38.5,3.9,0.1,19.3,52.0
ジョルジェフニコラ,02,東レアローズ,14,14,174,93,11,53.4,47.1,81,44,6,2,65,9,17,18,3,0,0,104,54.3,6.6,0.1,14.2,0.0
