名前,年月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブレシーブ成功率
アキンラデウォフォルケ,2020-10,久光スプリングス,16,10,52,25,3,48.1,42.3,1,0,0,5,32,1,3,10,8.6,0,0,0,31,0.0,2.5,0.5,
アキンラデウォフォルケ,2020-11,久光スプリングス,16,24,142,67,3,47.2,45.1,0,0,0,14,70,6,8,15,11.1,10,3,3,87,,2.79,0.58,45.0
アキンラデウォフォルケ,2020-12,久光スプリングス,16,7,33,17,2,51.5,45.5,0,0,0,7,24,2,4,4,8.3,2,1,0,26,,2.43,1.0,50.0
アキンラデウォフォルケ,2021-01,久光スプリングス,16,22,104,52,3,50.0,47.1,0,0,0,22,64,5,3,24,16.0,1,0,0,79,,2.36,1.0,0.0
アキンラデウォフォルケ,2021-02,久光スプリングス,16,9,55,31,1,56.4,54.5,0,0,0,10,25,1,1,8,11.0,0,0,0,42,,3.44,1.11,
アコスタロスランディ,2020-11,PFUブルーキャッツ,18,33,470,173,18,36.8,33.0,72,32,5,13,108,2,5,21,5.6,193,96,45,188,44.4,5.24,0.39,61.4
アコスタロスランディ,2020-12,PFUブルーキャッツ,18,6,93,34,4,36.6,32.3,18,5,1,0,18,1,2,3,6.9,36,13,13,35,27.8,5.67,0.0,54.2
アコスタロスランディ,2021-01,PFUブルーキャッツ,18,10,138,47,11,34.1,26.1,20,5,2,2,31,2,6,3,4.0,75,29,20,51,25.0,4.7,0.2,52.0
アコスタロスランディ,2021-02,PFUブルーキャッツ,18,4,42,18,3,42.9,35.7,6,2,0,0,13,1,4,1,1.9,13,8,3,19,33.3,4.5,0.0,73.1
オクム大庭冬美ハウィ,2020-10,日立リヴァーレ,17,12,162,64,10,39.5,33.3,30,11,2,3,33,0,1,11,7.6,0,0,0,67,36.7,5.33,0.25,
オクム大庭冬美ハウィ,2020-12,日立リヴァーレ,17,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,
オクム大庭冬美ハウィ,2021-01,日立リヴァーレ,17,12,156,56,12,35.9,28.2,17,5,1,2,37,2,3,4,6.1,0,0,0,60,29.4,4.67,0.17,
オクム大庭冬美ハウィ,2021-02,日立リヴァーレ,17,15,209,80,16,38.3,30.6,26,7,3,6,49,2,4,11,7.7,0,0,0,88,26.9,5.33,0.4,
オズソイネリマン,2020-10,NECレッドロケッツ,23,4,37,14,1,37.8,35.1,3,1,1,0,13,0,1,4,5.8,0,0,0,14,33.3,3.5,0.0,
オズソイネリマン,2020-11,NECレッドロケッツ,23,22,292,108,16,37.0,31.5,59,24,7,11,81,8,3,18,14.5,0,0,0,127,40.7,4.91,0.5,
オズソイネリマン,2020-12,NECレッドロケッツ,23,7,77,30,2,39.0,36.4,12,5,0,4,22,1,1,9,13.6,0,0,0,35,41.7,4.29,0.57,
オズソイネリマン,2021-01,NECレッドロケッツ,23,17,230,90,16,39.1,32.2,60,28,7,6,63,1,4,8,3.2,0,0,0,97,46.7,5.29,0.35,
オズソイネリマン,2021-02,NECレッドロケッツ,23,10,137,46,8,33.6,27.7,33,13,3,7,41,2,0,7,9.1,0,0,0,55,39.4,4.6,0.7,
クランヤナ,2020-10,東レアローズ,7,12,128,49,2,38.3,36.7,20,8,0,6,54,2,5,21,11.1,0,0,0,57,40.0,4.08,0.5,
