試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-23,1,,栗田楓,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,5,0,0,4,20.0,0,0,0,-
2019-11-23,2,L,吉岡みなみ,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,3,,鈴木日葵,3,■,■,■,,,9,6,1,0.6666666666666666,0.5555555555555556,2.00,0,0,0,-,2,0.67,14,0,1,4,5.4,0,0,0,-
2019-11-23,4,,小林愛里,2,,□,■,,,14,10,1,0.7142857142857143,0.6428571428571429,5.00,2,1,1,50.0,0,-,5,2,1,4,55.0,6,4,1,75.0
2019-11-23,5,,田中瑠奈,2,■,■,,,,11,1,2,0.09090909090909091,-0.09090909090909091,0.50,2,0,0,0.0,0,-,6,0,0,2,8.3,9,4,1,50.0
2019-11-23,6,,古市彩音,3,■,■,■,,,1,0,0,0.0,0.0,-,0,0,0,-,0,-,11,0,0,5,11.4,0,0,0,-
2019-11-23,8,,斉藤千佳,3,□,□,□,,,3,3,0,1.0,1.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,9,L,上地野乃香,3,〇,〇,〇,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,1,1,50.0
2019-11-23,10,,新井祥,3,■,■,■,,,24,6,0,0.25,0.25,2.00,0,0,0,-,0,-,11,0,0,6,13.6,29,19,2,69.0
2019-11-23,11,,坂本陽菜,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,-12.5,0,0,0,-
2019-11-23,12,,土屋智菜実,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,13,,愛宕諒子,3,■,■,■,,,30,8,3,0.26666666666666666,0.16666666666666666,2.67,0,0,0,-,1,0.33,11,0,1,5,9.1,0,0,0,-
2019-11-23,15,,石川梨奈,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-23,16,,安福若菜,3,■,■,■,,,21,12,1,0.5714285714285714,0.5238095238095238,4.00,0,0,0,-,4,1.33,8,0,0,3,9.4,2,0,0,0.0
2019-11-23,チーム合計,チーム合計,チーム合計,3,,,,,,113,46,8,0.40707964601769914,0.336283185840708,15.33,4,1,1,25.0,7,2.33,73,2,4,33,12.7,49,28,5,62.2
