試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2020-10-25,FC東京,1,,迫田郭志,3,■,■,■,nan,nan,13,4,2,30.8,15.4,1.33,2,1,1,50.0,0,-,11,0,6,1,-11.4,23,11,7,63.0,,,,,,,,
2020-10-25,FC東京,3,,橘裕也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-25,FC東京,4,,山田要平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-25,FC東京,5,,井上仁,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-25,FC東京,8,,栗山英之,3,■,■,■,nan,nan,17,10,2,58.8,47.1,3.33,0,0,0,-,2,0.67,8,0,1,2,3.1,0,0,0,-,,,,,,,,
2020-10-25,FC東京,9,,手塚大,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-25,FC東京,10,L,古賀太一郎,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,5,5,62.5,,,,,,,,
2020-10-25,FC東京,14,,長友優磨,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,-8.3,0,0,0,-,,,,,,,,
2020-10-25,FC東京,15,,谷口渉,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-25,FC東京,16,,手原紳,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,1,0.33,11,1,0,0,9.1,0,0,0,-,,,,,,,,
2020-10-25,FC東京,18,,武藤鉄也,3,■,■,■,nan,nan,8,4,0,50.0,50.0,1.33,0,0,0,-,0,-,10,1,1,2,12.5,1,1,0,100.0,,,,,,,,
2020-10-25,FC東京,19,,佐藤望実,3,■,■,■,nan,nan,11,4,0,36.4,36.4,1.33,1,1,0,100.0,0,-,11,0,4,2,-4.5,28,9,10,50.0,,,,,,,,
2020-10-25,FC東京,20,,プレモビッチピーター,3,■,■,■,nan,nan,40,21,1,52.5,50.0,7.00,19,13,1,68.4,3,1.00,12,0,2,4,4.2,0,0,0,-,,,,,,,,
2020-10-25,FC東京,21,,平田亮介,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,2,2,0.0,0,0,0,-,,,,,,,,
2020-10-25,FC東京,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,89,43,5,48.3,42.7,14.33,22,15,2,68.2,6,2.00,71,2,17,13,1.4,64,26,22,57.8,91,46,5,50.5,7,2.33,3.0,61.3
