名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アダムスモニーク,01,東レアローズ,6,14,114,46,4,40.4,36.8,0,0,0,5,62,1,7,17,110,80,0,52,,3.3,0.4,5.6,72.7
アダムスモニーク,02,東レアローズ,6,24,159,50,14,31.4,22.6,2,0,1,7,99,6,10,27,158,99,0,63,0.0,2.1,0.3,10.4,62.7
アダムスモニーク,11,東レアローズ,6,16,115,38,11,33.0,23.5,3,0,0,5,61,5,6,20,95,62,0,48,0.0,2.4,0.3,13.9,65.3
アダムスモニーク,12,東レアローズ,6,23,206,81,13,39.3,33.0,0,0,0,12,77,4,12,22,150,119,0,97,,3.5,0.5,8.4,79.3
クロフォードテリーズ,01,日立リヴァーレ,16,30,274,99,23,36.1,27.7,12,2,0,5,88,2,8,25,4,3,0,106,16.7,3.3,0.2,7.1,75.0
クロフォードテリーズ,02,日立リヴァーレ,16,18,185,62,23,33.5,21.1,3,1,0,6,51,2,5,7,2,2,0,70,33.3,3.4,0.3,4.9,100.0
クロフォードテリーズ,11,日立リヴァーレ,16,26,267,90,22,33.7,25.5,25,6,7,5,84,4,2,28,10,2,0,99,24.0,3.5,0.2,12.5,20.0
クロフォードテリーズ,12,日立リヴァーレ,16,21,215,75,19,34.9,26.0,17,0,4,6,63,3,4,17,19,13,0,84,0.0,3.6,0.3,9.9,68.4
シルバラケル,01,JTマーヴェラス,4,28,260,91,19,35.0,27.7,14,6,0,5,95,6,9,28,72,45,0,102,42.9,3.2,0.2,11.3,62.5
シルバラケル,02,JTマーヴェラス,4,13,56,25,7,44.6,32.1,3,1,1,1,13,0,1,1,19,14,0,26,33.3,1.9,0.1,0.0,73.7
シルバラケル,11,JTマーヴェラス,4,15,128,44,19,34.4,19.5,16,3,4,7,70,2,6,15,68,31,0,53,18.8,2.9,0.5,6.1,45.6
シルバラケル,12,JTマーヴェラス,4,14,114,33,11,28.9,19.3,6,0,1,0,47,2,6,4,51,39,0,35,0.0,2.4,0.0,3.2,76.5
トーマスイライシャ,01,久光製薬スプリングス,26,20,169,67,13,39.6,32.0,0,0,0,8,36,2,1,8,10,4,0,77,,3.4,0.4,10.4,40.0
トーマスイライシャ,02,久光製薬スプリングス,26,30,206,93,12,45.1,39.3,0,0,0,15,69,0,6,14,8,3,0,108,,3.1,0.5,2.9,37.5
トーマスイライシャ,11,久光製薬スプリングス,26,29,197,81,14,41.1,34.0,0,0,0,14,48,1,6,6,4,3,0,96,,2.8,0.5,2.1,75.0
トーマスイライシャ,12,久光製薬スプリングス,26,22,184,93,9,50.5,45.7,0,0,0,15,37,2,5,9,1,1,0,110,,4.2,0.7,8.1,100.0
ハニーフタイーバ,01,武富士バンブー,1,20,275,119,19,43.3,36.4,84,31,8,7,66,3,7,22,6,4,0,129,36.9,6.0,0.4,10.2,66.7
ハニーフタイーバ,02,武富士バンブー,1,31,434,191,29,44.0,37.3,139,60,9,12,99,2,12,27,13,7,0,205,43.2,6.2,0.4,5.8,53.8
ハニーフタイーバ,11,武富士バンブー,1,37,636,230,61,36.2,26.6,202,74,24,16,127,3,16,31,9,4,0,249,36.6,6.2,0.4,5.3,44.4
ハニーフタイーバ,12,武富士バンブー,1,24,378,156,24,41.3,34.9,130,45,10,12,91,2,8,30,15,9,0,170,34.6,6.5,0.5,8.2,60.0
