試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2015-10-31,サントリーサンバーズ,JTサンダーズ,1,,山村宏太,4,■,■,■,■,nan,6,3,0,50.0,50.0,0.75,0,0,0,-,0,-,9,0,1,2,5.6,0,0,0,-,3
2015-10-31,サントリーサンバーズ,JTサンダーズ,2,,鈴木寛史,4,■,■,■,■,nan,5,3,0,60.0,60.0,0.75,0,0,0,-,0,-,13,1,1,6,17.7,0,0,0,-,4
2015-10-31,サントリーサンバーズ,JTサンダーズ,3,L,高橋賢,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-10-31,サントリーサンバーズ,JTサンダーズ,6,,岡本祥吾,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-10-31,サントリーサンバーズ,JTサンダーズ,7,,エバンドログエッラ,4,■,■,■,■,nan,48,24,6,50.0,37.5,6.00,30,17,3,56.7,0,-,17,0,4,6,8.8,0,0,0,-,24
2015-10-31,サントリーサンバーズ,JTサンダーズ,8,,金子隆行,1,nan,nan,□,nan,nan,3,1,0,33.3,33.3,1.00,0,0,0,-,0,-,2,0,1,1,12.5,4,3,0,75.0,1
2015-10-31,サントリーサンバーズ,JTサンダーズ,9,,阿部裕太,4,■,■,■,■,nan,1,1,0,100.0,100.0,0.25,0,0,0,-,3,0.75,14,0,1,3,5.4,0,0,0,-,4
2015-10-31,サントリーサンバーズ,JTサンダーズ,11,L,鶴田大樹,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,24,18,0,75.0,0
2015-10-31,サントリーサンバーズ,JTサンダーズ,13,,柳田将洋,4,■,■,■,■,nan,19,6,1,31.6,26.3,1.50,2,1,0,50.0,0,-,12,1,5,4,15.0,16,5,0,31.2,7
2015-10-31,サントリーサンバーズ,JTサンダーズ,14,,椿山竜介,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-10-31,サントリーサンバーズ,JTサンダーズ,17,,星谷健太朗,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2015-10-31,サントリーサンバーズ,JTサンダーズ,19,,栗山雅史,4,■,■,■,■,nan,25,13,2,52.0,44.0,3.25,2,0,1,0.0,1,0.25,13,1,2,5,15.8,30,17,0,56.7,15
2015-10-31,サントリーサンバーズ,JTサンダーズ,20,,米山達也,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,6,1,0,4,30.0,0,0,0,-,1
2015-10-31,サントリーサンバーズ,JTサンダーズ,21,,松崎廣光,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,1,1,0,100.0,0
2015-10-31,サントリーサンバーズ,JTサンダーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,107,51,9,47.7,39.3,12.75,34,18,4,52.9,4,1.00,87,4,15,31,12.6,75,44,0,58.7,59
