試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-02-21,大分三好ヴァイセアドラー,1,,バグナスブライアン,3,■,■,■,nan,nan,20,11,1,55.0,50.0,3.67,6,1,0,16.7,0,-,11,0,3,3,0.0,14,2,6,35.7,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,4,,勝将哉,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,5,,大西基之,3,■,■,■,nan,nan,6,2,0,33.3,33.3,0.67,0,0,0,-,1,0.33,8,0,1,0,-3.1,4,2,0,50.0,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,7,L,松尾敬介,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,8,,川口喬,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,9,,林一壽,3,■,■,■,nan,nan,3,1,0,33.3,33.3,0.33,0,0,0,-,0,-,4,0,0,0,0.0,1,1,0,100.0,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,10,,山田滉太,3,■,■,■,nan,nan,13,4,1,30.8,23.1,1.33,2,1,0,50.0,0,-,11,2,3,2,15.9,26,17,6,76.9,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,11,,ストックトンカーティス,3,■,■,■,nan,nan,31,14,2,45.2,38.7,4.67,15,6,2,40.0,1,0.33,8,0,4,2,-6.2,0,0,0,-,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,13,L,久保田雅人,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,5,3,50.0,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,16,,濱本豊,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,18,,古賀健太,3,□,□,□,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,21,,井口直紀,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,6,0,1,0,-4.2,0,0,0,-,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,22,,藤岡諒馬,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,24,,米田亘希,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,2,2,0.0,0,0,0,-,,,,,,,,
2021-02-21,大分三好ヴァイセアドラー,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,75,32,4,42.7,37.3,10.67,23,8,2,34.8,2,0.67,54,2,15,9,0.9,58,27,15,59.5,67,42,3,62.7,10,3.33,4.8,61.5
