試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-10-17,堺ブレイザーズ,1,,松本慶彦,2,■,■,nan,nan,nan,6,4,0,0.6666666666666666,0.6666666666666666,2.00,0,0,0,-,0,-,9,0,1,2,2.8,0,0,0,-
2020-10-17,堺ブレイザーズ,3,,宮原貴人,4,□,□,■,□,nan,10,3,1,0.3,0.2,0.75,5,1,1,20.0,0,-,4,1,1,1,25.0,0,0,0,-
2020-10-17,堺ブレイザーズ,4,,高野直哉,4,■,■,■,■,nan,21,11,1,0.5238095238095238,0.47619047619047616,2.75,5,2,0,40.0,1,0.25,19,1,2,10,15.8,38,13,17,56.6
2020-10-17,堺ブレイザーズ,6,,山﨑貴矢,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-
2020-10-17,堺ブレイザーズ,7,,出耒田敬,4,■,■,■,■,nan,13,7,1,0.5384615384615384,0.46153846153846156,1.75,0,0,0,-,5,1.25,11,0,2,3,2.3,0,0,0,-
2020-10-17,堺ブレイザーズ,8,,佐川翔,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-17,堺ブレイザーズ,10,,千々木駿介,3,nan,□,□,■,nan,9,5,0,0.5555555555555556,0.5555555555555556,1.67,3,1,0,33.3,1,0.33,6,0,0,4,16.7,1,1,0,100.0
2020-10-17,堺ブレイザーズ,11,,関田誠大,4,■,■,■,■,nan,1,1,0,1.0,1.0,0.25,0,0,0,-,0,-,11,0,1,3,4.5,0,0,0,-
2020-10-17,堺ブレイザーズ,12,,小池勇輝,3,nan,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,3,0,-25.0,0,0,0,-
2020-10-17,堺ブレイザーズ,14,,山口頌平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-17,堺ブレイザーズ,20,L,山本智大,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,19,8,9,65.8
2020-10-17,堺ブレイザーズ,21,,竹元裕太郎,3,nan,□,■,■,nan,8,3,0,0.375,0.375,1.00,0,0,0,-,0,-,9,0,0,0,0.0,0,0,0,-
2020-10-17,堺ブレイザーズ,23,,鵜野幸也,3,■,■,■,nan,nan,19,5,2,0.2631578947368421,0.15789473684210525,1.67,7,0,2,0.0,2,0.67,10,0,2,5,7.5,13,6,4,61.5
2020-10-17,堺ブレイザーズ,24,,ジョンウェント,4,■,■,□,■,nan,36,16,5,0.4444444444444444,0.3055555555555556,4.00,11,6,3,54.5,1,0.25,15,2,3,2,11.7,1,0,1,50.0
2020-10-17,堺ブレイザーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,123,55,10,0.44715447154471544,0.36585365853658536,13.75,31,10,6,32.3,10,2.50,98,4,15,31,8.2,72,28,31,60.4
2020-10-17,VC長野トライデンツ,4,,中村竜輔,4,■,■,■,■,nan,11,5,0,0.45454545454545453,0.45454545454545453,1.25,0,0,0,-,3,0.75,9,0,0,1,2.8,3,1,0,33.3
2020-10-17,VC長野トライデンツ,5,,笠利真吾,4,■,■,■,■,nan,21,6,2,0.2857142857142857,0.19047619047619047,1.50,6,1,1,16.7,1,0.25,13,0,4,3,-1.9,12,2,2,25.0
2020-10-17,VC長野トライデンツ,6,,伊藤樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-10-17,VC長野トライデンツ,7,,戸嵜嵩大,4,■,■,■,■,nan,39,15,4,0.38461538461538464,0.28205128205128205,3.75,10,6,1,60.0,0,-,13,0,3,2,-1.9,30,9,10,46.7
2020-10-17,VC長野トライデンツ,8,,河東祐大,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.25,17,0,0,1,1.5,0,0,0,-
2020-10-17,VC長野トライデンツ,9,,池田幸太,4,■,■,■,■,nan,55,23,5,0.41818181818181815,0.32727272727272727,5.75,19,10,3,52.6,1,0.25,15,0,6,3,-5.0,17,5,5,44.1
2020-10-17,VC長野トライデンツ,12,L,山本憲吾,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,5,2,0,40.0
2020-10-17,VC長野トライデンツ,13,,椿芽久,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
