試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2015-10-31,ジェイテクトSTINGS,FC東京,5,,清野真一,1,nan,nan,□,nan,nan,1,1,0,100.0,100.0,1.00,1,1,0,100.0,0,-,1,0,0,0,0.0,0,0,0,-,1
2015-10-31,ジェイテクトSTINGS,FC東京,6,,高橋慎治,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,2,0.67,13,2,1,6,23.8,0,0,0,-,4
2015-10-31,ジェイテクトSTINGS,FC東京,7,,高橋和人,3,■,■,■,nan,nan,14,8,1,57.1,50.0,2.67,2,1,0,50.0,1,0.33,11,0,4,6,13.6,14,10,0,71.4,9
2015-10-31,ジェイテクトSTINGS,FC東京,9,,辰巳正敏,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-10-31,ジェイテクトSTINGS,FC東京,11,,袴谷亮介,3,■,■,■,nan,nan,9,4,1,44.4,33.3,1.33,0,0,0,-,0,-,18,3,2,7,25.3,0,0,0,-,7
2015-10-31,ジェイテクトSTINGS,FC東京,12,L,興梠亮,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-10-31,ジェイテクトSTINGS,FC東京,16,,久保山尚,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-10-31,ジェイテクトSTINGS,FC東京,17,L,本間隆太,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,4,0,40.0,0
2015-10-31,ジェイテクトSTINGS,FC東京,18,,角田辰徳,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-10-31,ジェイテクトSTINGS,FC東京,19,,浅野博亮,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-10-31,ジェイテクトSTINGS,FC東京,20,,江頭広樹,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,1,1,3,38.8,0,0,0,-,1
2015-10-31,ジェイテクトSTINGS,FC東京,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,77,43,4,55.8,50.6,14.33,12,6,0,50.0,9,3.00,73,7,14,32,19.5,46,31,0,67.4,59
2015-10-31,FC東京,ジェイテクトSTINGS,1,,岡崎将司,2,□,nan,□,nan,nan,4,2,0,50.0,50.0,1.00,0,0,0,-,1,0.50,6,2,1,0,33.3,4,3,0,75.0,5
2015-10-31,FC東京,ジェイテクトSTINGS,2,,玉宅健太郎,2,nan,□,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,0
2015-10-31,FC東京,ジェイテクトSTINGS,3,L,橘裕也,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,9,0,45.0,0
2015-10-31,FC東京,ジェイテクトSTINGS,4,,山田要平,2,■,■,nan,nan,nan,2,1,0,50.0,50.0,0.50,0,0,0,-,0,-,2,0,0,1,12.5,0,0,0,-,1
2015-10-31,FC東京,ジェイテクトSTINGS,6,,山本将平,3,■,■,■,nan,nan,18,10,2,55.6,44.4,3.33,4,2,0,50.0,0,-,6,0,2,4,16.7,19,9,0,47.4,10
2015-10-31,FC東京,ジェイテクトSTINGS,9,,手塚大,3,■,■,□,nan,nan,12,6,2,50.0,33.3,2.00,4,2,1,50.0,0,-,8,0,1,2,6.2,1,0,0,0.0,6
2015-10-31,FC東京,ジェイテクトSTINGS,10,,山岡祐也,2,□,nan,□,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0,0,-,0
2015-10-31,FC東京,ジェイテクトSTINGS,11,,奥村航,3,■,■,■,nan,nan,5,3,0,60.0,60.0,1.00,0,0,0,-,0,-,11,3,2,4,32.7,0,0,0,-,6
2015-10-31,FC東京,ジェイテクトSTINGS,13,L,橘尚吾,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-10-31,FC東京,ジェイテクトSTINGS,14,,長友優磨,2,□,nan,■,nan,nan,9,3,0,33.3,33.3,1.50,4,1,0,25.0,1,0.50,4,0,0,1,6.2,1,0,0,0.0,4
2015-10-31,FC東京,ジェイテクトSTINGS,15,,衛藤英興,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-10-31,FC東京,ジェイテクトSTINGS,17,,セルジオフェリックス,3,■,■,■,nan,nan,16,1,3,6.2,-12.5,0.33,0,0,0,-,0,-,4,0,0,1,6.2,11,3,0,27.3,1
2015-10-31,FC東京,ジェイテクトSTINGS,21,,鈴木頌卓,3,■,■,■,nan,nan,3,1,0,33.3,33.3,0.33,0,0,0,-,0,-,9,0,1,1,2.8,0,0,0,-,1
2015-10-31,FC東京,ジェイテクトSTINGS,22,,盛重龍,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-10-31,FC東京,ジェイテクトSTINGS,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,70,27,7,38.6,28.6,9.00,12,5,1,41.7,2,0.67,56,5,7,15,14.9,56,24,0,42.9,34
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,1,,山田脩造,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,2,,山近哲,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,3,,重村健太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,4,,内山正平,3,■,■,■,nan,nan,2,1,1,50.0,0.0,0.33,0,0,0,-,4,1.33,11,0,1,3,6.8,0,0,0,-,5
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,5,,前田一誠,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,6,,近裕崇,3,■,■,■,nan,nan,8,6,2,75.0,50.0,2.00,0,0,0,-,3,1.00,8,0,0,6,18.8,1,0,0,0.0,9
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,7,,白岩直也,3,■,■,■,nan,nan,8,4,2,50.0,25.0,1.33,0,0,0,-,1,0.33,17,0,1,6,8.8,24,16,0,66.7,5
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,8,,井上崇昭,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,10,L,古賀幸一郎,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,9,3,0,33.3,0
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,12,,高松卓矢,3,■,■,■,nan,nan,23,9,2,39.1,30.4,3.00,2,0,0,0.0,2,0.67,9,1,2,2,16.7,8,3,0,37.5,12
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,13,,岡本秀明,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,15,,オムルチェンイゴール,3,■,■,■,nan,nan,32,17,1,53.1,50.0,5.67,11,6,1,54.5,0,-,11,0,2,4,9.1,0,0,0,-,17
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,20,L,川口太一,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,22,,傳田亮太,3,■,■,■,nan,nan,3,3,0,100.0,100.0,1.00,0,0,0,-,2,0.67,18,0,1,10,13.9,0,0,0,-,5
2015-11-01,豊田合成トレフェルサ,堺ブレイザーズ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,76,40,8,52.6,42.1,13.33,13,6,1,46.2,12,4.00,74,1,7,31,11.8,42,22,0,52.4,53
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,1,,松本慶彦,1,nan,nan,■,nan,nan,4,2,0,50.0,50.0,2.00,0,0,0,-,0,-,4,0,0,3,18.8,0,0,0,-,2
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,2,L,井上裕介,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,7,0,58.3,0
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,3,,石島雄介,3,■,■,■,nan,nan,18,6,1,33.3,27.8,2.00,1,0,0,0.0,1,0.33,7,0,1,4,14.3,14,8,0,57.1,7
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,5,,内藤和也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,6,,ペピチミラン,3,■,■,■,nan,nan,27,7,7,25.9,0.0,2.33,12,2,4,16.7,0,-,12,3,2,6,35.8,0,0,0,-,10
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,7,,出耒田敬,3,■,■,■,nan,nan,14,2,3,14.3,-7.1,0.67,0,0,0,-,2,0.67,5,0,1,0,0.0,1,1,0,100.0,4
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,8,,佐川翔,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-,0
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,10,,千々木駿介,3,■,■,■,nan,nan,20,7,1,35.0,30.0,2.33,6,2,0,33.3,0,-,8,0,0,3,9.4,39,19,0,48.7,7
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,11,,伊藤康貴,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,12,,横田一義,2,■,■,nan,nan,nan,3,1,0,33.3,33.3,0.50,0,0,0,-,1,0.50,5,0,0,2,10.0,0,0,0,-,2
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,13,,松岡祐太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,14,L,坂梨朋彦,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,15,,木村泰輔,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,19,,今村駿,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,0,0,0,-,0
2015-11-01,堺ブレイザーズ,豊田合成トレフェルサ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,87,25,12,28.7,14.9,8.33,19,4,4,21.1,4,1.33,48,3,4,20,16.2,66,35,0,53.0,32
2015-11-01,パナソニックパンサーズ,東レアローズ,1,,清水邦広,4,■,■,■,■,nan,48,20,2,41.7,37.5,5.00,13,5,1,38.5,4,1.00,15,1,1,8,18.7,0,0,0,-,25
2015-11-01,パナソニックパンサーズ,東レアローズ,2,,深津英臣,4,■,■,■,■,nan,4,2,0,50.0,50.0,0.50,0,0,0,-,1,0.25,21,0,1,11,13.1,1,0,0,0.0,3
2015-11-01,パナソニックパンサーズ,東レアローズ,3,,山添信也,4,■,■,■,■,nan,14,7,0,50.0,50.0,1.75,0,0,0,-,0,-,18,0,1,5,6.9,1,1,0,100.0,7
2015-11-01,パナソニックパンサーズ,東レアローズ,4,,冨士本大生,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,パナソニックパンサーズ,東レアローズ,5,,渡辺奏吾,4,■,■,■,■,nan,33,15,3,45.5,36.4,3.75,2,0,1,0.0,1,0.25,18,0,4,7,9.7,28,14,0,50.0,16
2015-11-01,パナソニックパンサーズ,東レアローズ,6,,白澤健児,4,■,■,■,■,nan,9,5,0,55.6,55.6,1.25,0,0,0,-,1,0.25,16,0,2,4,6.2,0,0,0,-,6
2015-11-01,パナソニックパンサーズ,東レアローズ,7,,ブロックソムジョエル,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,0
2015-11-01,パナソニックパンサーズ,東レアローズ,8,L,谷村孝,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,パナソニックパンサーズ,東レアローズ,11,,池田政之,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,パナソニックパンサーズ,東レアローズ,12,,専田和也,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,2,0,0.0,0,0,0,-,0
2015-11-01,パナソニックパンサーズ,東レアローズ,14,,田城貴之,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,パナソニックパンサーズ,東レアローズ,16,,大竹貴久,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,パナソニックパンサーズ,東レアローズ,17,L,永野健,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,28,19,0,67.9,0
2015-11-01,パナソニックパンサーズ,東レアローズ,18,,ダンチアマラウ,4,■,■,■,■,nan,41,18,0,43.9,43.9,4.50,7,4,0,57.1,2,0.50,21,4,4,7,25.5,24,15,0,62.5,24
2015-11-01,パナソニックパンサーズ,東レアローズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,149,67,5,45.0,41.6,16.75,22,9,2,40.9,9,2.25,113,5,16,42,13.2,82,49,0,59.8,81
2015-11-01,東レアローズ,パナソニックパンサーズ,1,,富松崇彰,2,■,■,nan,nan,nan,6,1,0,16.7,16.7,0.50,0,0,0,-,0,-,7,0,0,1,3.6,0,0,0,-,1
2015-11-01,東レアローズ,パナソニックパンサーズ,3,,伏見大和,4,■,■,■,■,nan,14,6,0,42.9,42.9,1.50,0,0,0,-,3,0.75,15,0,4,4,6.7,1,1,0,100.0,9
2015-11-01,東レアローズ,パナソニックパンサーズ,4,,佐野翔,3,■,■,■,nan,nan,35,13,1,37.1,34.3,4.33,5,3,1,60.0,3,1.00,12,0,4,4,8.3,11,1,0,9.1,16
2015-11-01,東レアローズ,パナソニックパンサーズ,5,,米山裕太,2,nan,nan,□,■,nan,9,1,0,11.1,11.1,0.50,0,0,0,-,0,-,11,1,1,5,18.6,23,13,0,56.5,2
2015-11-01,東レアローズ,パナソニックパンサーズ,6,L,渡辺俊介,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,30,19,0,63.3,0
2015-11-01,東レアローズ,パナソニックパンサーズ,9,,梅野聡,4,■,■,□,■,nan,2,1,0,50.0,50.0,0.25,0,0,0,-,0,-,12,0,1,4,8.3,1,0,0,0.0,1
2015-11-01,東レアローズ,パナソニックパンサーズ,10,,星野秀知,3,■,■,■,nan,nan,16,4,0,25.0,25.0,1.33,0,0,0,-,2,0.67,12,0,2,4,8.3,26,16,0,61.5,6
2015-11-01,東レアローズ,パナソニックパンサーズ,14,,ジョルジェフニコラ,4,■,■,■,■,nan,58,27,5,46.6,37.9,6.75,19,9,1,47.4,1,0.25,16,0,6,1,1.6,0,0,0,-,28
2015-11-01,東レアローズ,パナソニックパンサーズ,15,,李博,4,□,□,■,■,nan,7,4,0,57.1,57.1,1.00,0,0,0,-,5,1.25,6,0,1,3,12.5,0,0,0,-,9
2015-11-01,東レアローズ,パナソニックパンサーズ,17,,黒木康太郎,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,東レアローズ,パナソニックパンサーズ,18,,鈴木悠二,4,□,□,□,■,nan,7,4,0,57.1,57.1,1.00,1,0,0,0.0,0,-,8,1,2,3,19.4,0,0,0,-,5
2015-11-01,東レアローズ,パナソニックパンサーズ,20,L,大木貴之,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-01,東レアローズ,パナソニックパンサーズ,21,,藤井直伸,2,nan,□,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,1,1,2,26.0,0,0,0,-,1
2015-11-01,東レアローズ,パナソニックパンサーズ,22,,井手智,2,□,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,3,0,100.0,0
2015-11-01,東レアローズ,パナソニックパンサーズ,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,154,61,6,39.6,35.7,15.25,25,12,2,48.0,14,3.50,104,3,22,31,9.8,95,53,0,55.8,78
2015-11-07,サントリーサンバーズ,豊田合成トレフェルサ,1,,山村宏太,3,■,■,■,nan,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,7,0,0,0,0.0,0,0,0,-,0
2015-11-07,サントリーサンバーズ,豊田合成トレフェルサ,2,,鈴木寛史,3,■,■,■,nan,nan,5,1,0,20.0,20.0,0.33,0,0,0,-,0,-,6,0,1,2,8.3,0,0,0,-,1
2015-11-07,サントリーサンバーズ,豊田合成トレフェルサ,5,L,酒井大祐,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-07,サントリーサンバーズ,豊田合成トレフェルサ,6,,岡本祥吾,3,□,■,■,nan,nan,0,0,0,,,-,0,0,0,-,1,0.33,9,0,1,0,0.0,0,0,0,-,1
2015-11-07,サントリーサンバーズ,豊田合成トレフェルサ,7,,エバンドログエッラ,3,■,■,■,nan,nan,40,17,3,42.5,35.0,5.67,16,7,3,43.8,1,0.33,8,1,2,5,25.6,0,0,0,-,19
2015-11-07,サントリーサンバーズ,豊田合成トレフェルサ,8,,金子隆行,3,□,■,■,nan,nan,10,4,1,40.0,30.0,1.33,1,0,1,0.0,0,-,6,0,1,0,0.0,12,10,0,83.3,4
2015-11-07,サントリーサンバーズ,豊田合成トレフェルサ,9,,阿部裕太,2,■,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2015-11-07,サントリーサンバーズ,豊田合成トレフェルサ,11,L,鶴田大樹,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,7,0,58.3,0
2015-11-07,サントリーサンバーズ,豊田合成トレフェルサ,13,,柳田将洋,2,■,□,nan,nan,nan,5,0,1,0.0,-20.0,-,1,0,0,0.0,0,-,3,0,0,3,25.0,6,2,0,33.3,0
2015-11-07,サントリーサンバーズ,豊田合成トレフェルサ,14,,椿山竜介,2,□,nan,□,nan,nan,2,1,1,50.0,0.0,0.50,2,1,1,50.0,0,-,2,0,2,0,0.0,1,0,0,0.0,1
2015-11-07,サントリーサンバーズ,豊田合成トレフェルサ,17,,星谷健太朗,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,1,1.00,0,0,0,0,-,0,0,0,-,1
2015-11-07,サントリーサンバーズ,豊田合成トレフェルサ,19,,栗山雅史,3,■,■,■,nan,nan,13,7,0,53.8,53.8,2.33,3,3,0,100.0,1,0.33,11,1,1,3,15.9,22,10,0,45.5,9
