名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
グルビッチウラジミル,堺ブレイザーズ,23,71,423,191,26,45.2,39.0,52,16,8,23,294,12,39,44,503,381,0,30.8,2.7,0.3,4.5,75.7
サベリエフイリア,JTサンダーズ,21,74,641,337,33,52.6,47.4,127,70,10,15,323,27,64,127,324,237,0,55.1,4.6,0.2,13.2,73.1
ジルソンベルナルド,サントリーサンバーズ,16,65,805,443,80,55.0,45.1,310,165,38,35,275,34,87,91,3,1,0,53.2,6.8,0.5,12.7,33.3
ダジルバカルロス,東レアローズ,9,71,680,312,68,45.9,35.9,248,112,32,40,248,9,48,35,19,9,0,45.2,4.4,0.6,2.3,47.4
ビデンクールナウベルチ,パナソニックパンサーズ,16,66,432,195,31,45.1,38.0,71,30,9,29,294,14,55,111,513,401,0,42.3,3.0,0.4,9.5,78.2
ベアードデビッド,日立国分トルメンタ,15,67,424,171,34,40.3,32.3,46,19,7,28,236,5,37,39,323,247,0,41.3,2.6,0.4,2.3,76.5
ロドリゲスアンデルソン,NECブルーロケッツ,18,71,709,395,68,55.7,46.1,291,150,37,45,279,26,100,88,21,12,0,51.5,5.6,0.6,8.2,57.1
上田芳裕,サントリーサンバーズ,9,10,3,1,0,33.3,33.3,0,0,0,0,12,1,2,2,0,0,0,,0.1,0.0,8.3,
下村英士,JTサンダーズ,16,35,4,0,0,0.0,0.0,0,0,0,1,55,0,1,5,0,0,0,,0.0,0.0,1.8,
下田悟,JTサンダーズ,7,31,113,45,10,39.8,31.0,1,0,0,4,84,3,12,10,234,164,0,0.0,1.5,0.1,3.0,70.1
中垣内祐一,堺ブレイザーズ,4,23,109,43,7,39.4,33.0,31,11,2,7,42,0,5,3,21,14,0,35.5,1.9,0.3,-1.2,66.7
中川一,NTT西日本レグルス,1,54,90,50,4,55.6,51.1,1,1,0,16,86,4,19,14,7,5,0,100.0,0.9,0.3,3.2,71.4
丸山利明,旭化成スパーキッズ,9,66,349,169,24,48.4,41.5,61,21,8,21,259,8,43,50,348,270,0,34.4,2.6,0.3,3.8,77.6
久保尚志,パナソニックパンサーズ,11,9,0,0,0,,,0,0,0,0,13,1,4,4,5,1,0,,0.0,0.0,7.7,20.0
五十里朗,NTT西日本レグルス,15,57,97,50,3,51.5,48.5,1,0,0,17,90,0,7,10,18,15,0,0.0,0.9,0.3,0.8,83.3
井上譲,日立国分トルメンタ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
今井啓介,パナソニックパンサーズ,4,4,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
伊勢隆一,JTサンダーズ,14,32,44,23,5,52.3,40.9,0,0,0,14,89,1,6,12,0,0,0,,0.7,0.4,2.8,
伊藤信博,堺ブレイザーズ,15,36,63,29,4,46.0,39.7,1,1,0,22,113,7,24,26,1,0,0,100.0,0.8,0.6,6.6,0.0
佐々木太一,サントリーサンバーズ,2,67,204,130,11,63.7,58.3,1,1,0,31,263,7,48,61,10,5,0,100.0,1.9,0.5,3.9,50.0
佐藤宝男,NECブルーロケッツ,16,9,44,20,4,45.5,36.4,5,2,2,2,31,0,3,5,34,20,0,40.0,2.2,0.2,1.6,58.8
倉内哲,富士フイルム・プラネッツ,15,12,33,19,2,57.6,51.5,0,0,0,2,33,0,2,4,0,0,0,,1.6,0.2,1.5,
八代昌之,日立国分トルメンタ,12,67,0,0,0,,,0,0,0,0,0,0,0,0,546,383,0,,0.0,0.0,,70.1
