試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,相手アタック打数,相手アタック得点,相手アタック失点,相手アタック決定率,相手ブロック得点,相手ブロックセット平均,相手サーブ効果率,相手サーブレシーブ成功率
2021-02-06,日立リヴァーレ,1,,上坂瑠子,3,■,■,■,nan,nan,23,4,1,17.4,13.0,1.33,2,0,0,0.0,0,-,8,0,1,3,6.2,20,14,2,75.0,,,,,,,,
2021-02-06,日立リヴァーレ,2,,小野寺友香,2,■,■,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,7,1,0,1,17.9,0,0,0,-,,,,,,,,
2021-02-06,日立リヴァーレ,3,,堀井有蘭,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,3,0,0,0.0,,,,,,,,
2021-02-06,日立リヴァーレ,4,,窪田美侑,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,3,0,2,33.3,,,,,,,,
2021-02-06,日立リヴァーレ,5,,タップハンナ,1,■,nan,nan,nan,nan,3,2,0,66.7,66.7,2.00,0,0,0,-,0,-,3,0,0,2,16.7,0,0,0,-,,,,,,,,
2021-02-06,日立リヴァーレ,6,,芳賀舞波,2,nan,■,■,nan,nan,6,0,0,0.0,0.0,-,0,0,0,-,2,1.00,6,0,0,2,8.3,0,0,0,-,,,,,,,,
2021-02-06,日立リヴァーレ,7,L,齋藤加奈子,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,13,6,2,53.8,,,,,,,,
2021-02-06,日立リヴァーレ,10,L,小池杏菜,3,〇,〇,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2021-02-06,日立リヴァーレ,13,,長内美和子,1,nan,□,nan,nan,nan,7,0,0,0.0,0.0,-,0,0,0,-,0,-,5,0,0,1,5.0,3,1,0,33.3,,,,,,,,
2021-02-06,日立リヴァーレ,14,,入澤まい,3,■,■,■,nan,nan,13,4,0,30.8,30.8,1.33,0,0,0,-,1,0.33,12,1,3,2,6.2,0,0,0,-,,,,,,,,
2021-02-06,日立リヴァーレ,17,,オクム大庭冬美ハウィ,3,■,■,■,nan,nan,53,20,2,37.7,34.0,6.67,7,2,1,28.6,1,0.33,10,1,1,2,12.5,0,0,0,-,,,,,,,,
2021-02-06,日立リヴァーレ,18,,境紗里奈,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,,,,,,,,
2021-02-06,日立リヴァーレ,19,,野中瑠衣,3,■,■,■,nan,nan,21,11,0,52.4,52.4,3.67,0,0,0,-,0,-,7,0,3,1,-7.1,24,8,6,45.8,,,,,,,,
2021-02-06,日立リヴァーレ,21,,雑賀恵斗,2,nan,□,■,nan,nan,2,1,0,50.0,50.0,0.50,0,0,0,-,1,0.50,5,0,1,0,-5.0,0,0,0,-,,,,,,,,
2021-02-06,日立リヴァーレ,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,128,42,3,32.8,30.5,14.00,9,2,1,22.2,5,1.67,66,3,9,14,6.4,66,29,12,53.0,121,49,4,40.5,9,3.00,11.3,62.7
