名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
フィオーリンヴァレンティーナ,01,埼玉上尾メディックス,1,22,226,96,19,42.5,34.1,34,9,7,16,77,1,1,24,104,54,0,26.5,4.4,0.7,8.8,51.9
フィオーリンヴァレンティーナ,02,埼玉上尾メディックス,1,26,229,110,12,48.0,42.8,37,18,6,24,114,6,1,30,97,40,0,48.6,4.2,0.9,11.6,41.2
フィオーリンヴァレンティーナ,03,埼玉上尾メディックス,1,7,60,25,0,41.7,41.7,6,3,0,2,24,3,2,5,6,4,0,50.0,3.6,0.3,15.6,66.7
フィオーリンヴァレンティーナ,12,埼玉上尾メディックス,1,8,75,34,3,45.3,41.3,13,6,1,8,24,0,1,8,49,31,0,46.2,4.2,1.0,7.3,63.3
フールマンフランシーヌ,01,日立リヴァーレ,33,24,108,56,10,51.9,42.6,3,1,1,16,90,6,9,35,2,2,0,33.3,2.3,0.7,13.9,100.0
フールマンフランシーヌ,02,日立リヴァーレ,33,24,93,44,9,47.3,37.6,1,0,0,16,62,7,11,24,2,1,0,0.0,1.8,0.7,16.5,50.0
フールマンフランシーヌ,03,日立リヴァーレ,33,12,52,34,0,65.4,65.4,2,1,0,2,36,0,4,20,0,0,0,50.0,2.8,0.2,11.1,
フールマンフランシーヌ,12,日立リヴァーレ,33,13,55,30,4,54.5,47.3,0,0,0,14,50,4,3,16,1,1,0,,2.3,1.1,14.5,100.0
三友歩美,01,仙台ベルフィーユ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三友歩美,02,仙台ベルフィーユ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三友歩美,03,仙台ベルフィーユ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三友歩美,12,仙台ベルフィーユ,11,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三浦知愛,01,仙台ベルフィーユ,9,23,0,0,0,,,0,0,0,0,0,0,0,0,153,108,0,,0.0,0.0,,70.6
三浦知愛,02,仙台ベルフィーユ,9,17,0,0,0,,,0,0,0,0,8,0,0,4,62,30,0,,0.0,0.0,12.5,48.4
三浦知愛,03,仙台ベルフィーユ,9,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
三浦知愛,12,仙台ベルフィーユ,9,15,0,0,0,,,0,0,0,0,0,0,0,0,98,61,0,,0.0,0.0,,62.2
上村麻衣,01,仙台ベルフィーユ,10,24,109,53,3,48.6,45.9,0,0,0,11,83,2,2,22,8,4,0,,2.2,0.5,8.4,50.0
上村麻衣,02,仙台ベルフィーユ,10,26,121,56,7,46.3,40.5,0,0,0,13,80,4,4,32,1,0,0,,2.2,0.5,13.8,0.0
上村麻衣,03,仙台ベルフィーユ,10,11,62,28,4,45.2,38.7,0,0,0,4,34,0,4,10,1,1,0,,2.5,0.4,4.4,100.0
上村麻衣,12,仙台ベルフィーユ,10,15,53,19,5,35.8,26.4,0,0,0,5,57,1,2,17,4,1,0,,1.3,0.3,8.3,25.0
中田明香,01,大野石油広島オイラーズ,6,25,10,6,0,60.0,60.0,0,0,0,7,97,4,4,26,0,0,0,,0.2,0.3,9.8,
中田明香,02,大野石油広島オイラーズ,6,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
中田明香,03,大野石油広島オイラーズ,6,9,2,2,0,100.0,100.0,0,0,0,1,31,0,1,13,1,0,0,,0.2,0.1,9.7,0.0
中田明香,12,大野石油広島オイラーズ,6,15,8,3,0,37.5,37.5,0,0,0,1,58,3,0,24,2,1,0,,0.2,0.1,15.5,50.0
中野清香,01,仙台ベルフィーユ,8,24,238,90,10,37.8,33.6,17,4,3,2,86,5,12,13,172,102,0,23.5,3.8,0.1,6.1,59.3
中野清香,02,仙台ベルフィーユ,8,24,232,80,15,34.5,28.0,37,7,4,5,90,3,9,25,143,76,0,18.9,3.3,0.2,7.8,53.1
中野清香,03,仙台ベルフィーユ,8,11,125,44,7,35.2,29.6,23,3,0,2,47,3,1,9,55,28,0,13.0,4.0,0.2,10.6,50.9
中野清香,12,仙台ベルフィーユ,8,15,121,44,5,36.4,32.2,0,0,0,0,50,2,13,13,89,56,0,,2.9,0.0,4.0,62.9
丸山祐希,01,柏エンゼルクロス,11,29,14,5,0,35.7,35.7,0,0,0,1,99,3,5,17,1,0,0,,0.2,0.0,6.1,0.0
丸山祐希,02,柏エンゼルクロス,11,33,21,6,0,28.6,28.6,0,0,0,0,121,7,4,37,0,0,0,,0.2,0.0,12.6,
丸山祐希,03,柏エンゼルクロス,11,7,5,4,0,80.0,80.0,0,0,0,0,18,0,0,5,0,0,0,,0.6,0.0,6.9,
丸山祐希,12,柏エンゼルクロス,11,11,6,3,0,50.0,50.0,0,0,0,0,32,2,2,14,1,0,0,,0.3,0.0,15.6,0.0
丸山裕子,01,Befcoビービースターズ,5,3,3,0,0,0.0,0.0,0,0,0,1,1,0,0,0,0,0,0,,0.0,0.3,0.0,
丸山裕子,02,Befcoビービースターズ,5,20,88,39,7,44.3,36.4,0,0,0,10,58,1,6,21,1,1,0,,2.0,0.5,8.2,100.0
丸山裕子,03,Befcoビービースターズ,5,1,1,1,0,100.0,100.0,0,0,0,1,1,0,0,1,0,0,0,,1.0,1.0,25.0,
丸山裕子,12,Befcoビービースターズ,5,5,14,2,0,14.3,14.3,0,0,0,5,9,1,4,2,1,1,0,,0.4,1.0,5.6,100.0
丸山香菜子,01,フォレストリーヴズ熊本,8,21,157,42,10,26.8,20.4,0,0,0,6,68,2,7,20,191,128,0,,2.0,0.3,7.7,67.0
丸山香菜子,02,フォレストリーヴズ熊本,8,26,169,48,9,28.4,23.1,1,0,0,5,75,2,2,23,215,147,0,0.0,1.8,0.2,9.7,68.4
丸山香菜子,03,フォレストリーヴズ熊本,8,11,69,17,2,24.6,21.7,0,0,0,3,44,4,0,17,112,72,0,,1.5,0.3,18.8,64.3
丸山香菜子,12,フォレストリーヴズ熊本,8,13,79,20,5,25.3,19.0,2,1,0,3,39,1,2,20,121,64,0,50.0,1.5,0.2,14.1,52.9
久保みゆき,01,フォレストリーヴズ熊本,15,23,0,0,0,,,0,0,0,0,0,0,0,0,97,58,0,,0.0,0.0,,59.8
久保みゆき,02,フォレストリーヴズ熊本,15,30,0,0,0,,,0,0,0,0,0,0,0,0,166,97,0,,0.0,0.0,,58.4
久保みゆき,03,フォレストリーヴズ熊本,15,12,0,0,0,,,0,0,0,0,0,0,0,0,39,27,0,,0.0,0.0,,69.2
