試合日,月,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2009-01-10,01,健祥会レッドハーツ,1,,谷口由美恵,5,■,■,■,■,■,40,15,0,0.375,0.375,3.00,0,0,0,-,2,0.40,16,1,2,6,14.4,9,7,0,77.8
2009-01-10,01,健祥会レッドハーツ,2,,城戸浩子,5,■,■,■,■,■,29,15,0,0.5172413793103449,0.5172413793103449,3.00,1,1,0,100.0,1,0.20,11,0,2,3,6.8,21,14,0,66.7
2009-01-10,01,健祥会レッドハーツ,4,,岩本理恵,3,■,■,nan,□,nan,13,6,1,0.46153846153846156,0.38461538461538464,2.00,0,0,0,-,0,-,5,0,0,4,20.0,7,4,0,57.1
2009-01-10,01,健祥会レッドハーツ,5,,三崎栄子,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,12,1,0,5,17.1,0,0,0,-
2009-01-10,01,健祥会レッドハーツ,6,,萩生田弘美,5,■,■,■,■,■,4,2,0,0.5,0.5,0.40,0,0,0,-,0,-,21,2,0,5,14.5,0,0,0,-
2009-01-10,01,健祥会レッドハーツ,7,,田巻由貴子,5,■,■,■,■,■,33,9,0,0.2727272727272727,0.2727272727272727,1.80,0,0,0,-,3,0.60,20,0,2,5,6.2,0,0,0,-
2009-01-10,01,健祥会レッドハーツ,8,L,北島愛,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-01-10,01,健祥会レッドハーツ,10,,高橋めぐみ,5,■,■,■,■,■,41,15,3,0.36585365853658536,0.2926829268292683,3.00,0,0,0,-,2,0.40,10,1,0,4,18.0,0,0,0,-
2009-01-10,01,健祥会レッドハーツ,12,,長野友紀,4,nan,□,■,■,■,29,8,3,0.27586206896551724,0.1724137931034483,2.00,0,0,0,-,0,-,16,0,1,7,10.9,10,10,0,100.0
2009-01-10,01,健祥会レッドハーツ,13,L,酒井優希,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,40,21,0,52.5
2009-01-10,01,健祥会レッドハーツ,14,,福原智美,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-01-10,01,健祥会レッドハーツ,15,,園田亜希,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-01-10,01,GSS東京サンビームズ,1,,竹村由紀子,5,■,■,■,■,■,25,9,2,0.36,0.28,1.80,1,0,0,0.0,0,-,8,0,1,1,3.1,25,15,0,60.0
2009-01-10,01,GSS東京サンビームズ,2,,宮川紗麻亜,5,■,■,■,■,■,62,25,6,0.4032258064516129,0.3064516129032258,5.00,11,3,3,27.3,2,0.40,15,0,1,7,11.7,17,12,0,70.6
2009-01-10,01,GSS東京サンビームズ,3,,蓮沼聡子,5,■,■,■,■,■,57,17,4,0.2982456140350877,0.22807017543859648,3.40,0,0,0,-,1,0.20,20,0,1,7,8.8,15,7,0,46.7
2009-01-10,01,GSS東京サンビームズ,4,,桐井海千子,5,■,■,■,■,■,4,1,0,0.25,0.25,0.20,0,0,0,-,0,-,15,0,0,8,13.3,0,0,0,-
2009-01-10,01,GSS東京サンビームズ,5,,長谷川理加,1,nan,nan,nan,nan,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-01-10,01,GSS東京サンビームズ,6,,清水智子,5,■,■,■,■,■,15,7,2,0.4666666666666667,0.3333333333333333,1.40,0,0,0,-,2,0.40,17,0,3,4,5.9,3,2,0,66.7
2009-01-10,01,GSS東京サンビームズ,7,L,村木満由子,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,30,18,0,60.0
2009-01-10,01,GSS東京サンビームズ,8,,黄秀京,5,■,■,■,■,■,20,7,2,0.35,0.25,1.40,1,0,1,0.0,3,0.60,12,2,1,2,20.8,2,0,0,0.0
2009-01-10,01,GSS東京サンビームズ,9,,大田原真美,5,□,□,□,□,□,0,0,0,,,-,0,0,0,-,0,-,6,0,0,2,8.3,9,4,0,44.4
2009-01-10,01,GSS東京サンビームズ,10,,酒井沙織,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-01-10,01,GSS東京サンビームズ,11,,星野由佳里,2,nan,nan,□,□,nan,1,0,1,0.0,-1.0,-,1,0,1,0.0,0,-,2,0,0,0,0.0,2,2,0,100.0
2009-01-10,01,GSS東京サンビームズ,12,,山下みなみ,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-01-10,01,GSS東京サンビームズ,13,,安武三咲樹,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2009-01-10,01,GSS東京サンビームズ,14,L,北島愛,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-01-10,01,PFUブルーキャッツ,1,,餅田千佳,3,■,■,■,nan,nan,32,14,3,0.4375,0.34375,4.67,1,0,0,0.0,2,0.67,12,1,3,3,12.9,20,13,0,65.0
2009-01-10,01,PFUブルーキャッツ,2,,松永真果,1,nan,nan,□,nan,nan,2,0,0,0.0,0.0,-,0,0,0,-,1,1.00,4,0,0,1,6.2,0,0,0,-
2009-01-10,01,PFUブルーキャッツ,3,,大久保梨紗,3,■,■,■,nan,nan,12,4,4,0.3333333333333333,0.0,1.33,0,0,0,-,0,-,13,1,3,2,10.0,5,3,0,60.0
2009-01-10,01,PFUブルーキャッツ,4,,時長真菜,3,■,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,1,0,0.0,0,0,0,-
2009-01-10,01,PFUブルーキャッツ,5,,塚原佳代子,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-01-10,01,PFUブルーキャッツ,6,,宮島裕奈,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-01-10,01,PFUブルーキャッツ,8,,足立史織,2,■,■,nan,nan,nan,13,8,2,0.6153846153846154,0.46153846153846156,4.00,0,0,0,-,1,0.50,10,1,2,3,15.5,11,9,0,81.8
2009-01-10,01,PFUブルーキャッツ,10,L,池田歩美,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,10,8,0,80.0
2009-01-10,01,PFUブルーキャッツ,11,,佐藤奈美,3,■,■,■,nan,nan,13,6,3,0.46153846153846156,0.23076923076923078,2.00,0,0,0,-,0,-,9,0,1,4,11.1,0,0,0,-
2009-01-10,01,PFUブルーキャッツ,12,,古藤千鶴,3,□,■,■,nan,nan,10,5,0,0.5,0.5,1.67,0,0,0,-,0,-,10,1,1,3,17.5,0,0,0,-
2009-01-10,01,PFUブルーキャッツ,13,,鈴木未来,3,■,■,■,nan,nan,15,11,0,0.7333333333333333,0.7333333333333333,3.67,0,0,0,-,0,-,12,0,2,3,6.2,0,0,0,-
2009-01-10,01,PFUブルーキャッツ,14,,清水亜寿里,1,nan,nan,■,nan,nan,6,2,1,0.3333333333333333,0.16666666666666666,2.00,0,0,0,-,1,1.00,3,0,1,0,0.0,6,5,0,83.3
2009-01-10,01,フォレストリーヴズ熊本,1,,上岡奈々瀬,2,□,nan,□,nan,nan,7,2,0,0.2857142857142857,0.2857142857142857,1.00,0,0,0,-,1,0.50,2,0,0,1,12.5,0,0,0,-
2009-01-10,01,フォレストリーヴズ熊本,2,,坂本久美子,3,■,■,■,nan,nan,12,5,1,0.4166666666666667,0.3333333333333333,1.67,0,0,0,-,1,0.33,7,0,2,0,0.0,0,0,0,-
2009-01-10,01,フォレストリーヴズ熊本,3,,福田優,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,4,0,0,1,6.2,2,1,0,50.0
2009-01-10,01,フォレストリーヴズ熊本,4,,木村亜沙美,3,■,■,■,nan,nan,29,6,2,0.20689655172413793,0.13793103448275862,2.00,0,0,0,-,1,0.33,7,0,1,2,7.1,0,0,0,-
2009-01-10,01,フォレストリーヴズ熊本,5,,山下麻衣,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-01-10,01,フォレストリーヴズ熊本,6,,井上翠,3,■,■,■,nan,nan,14,6,1,0.42857142857142855,0.35714285714285715,2.00,0,0,0,-,1,0.33,9,0,2,3,8.3,0,0,0,-
2009-01-10,01,フォレストリーヴズ熊本,7,,梅野早也佳,3,■,■,■,nan,nan,11,1,2,0.09090909090909091,-0.09090909090909091,0.33,0,0,0,-,0,-,10,0,2,2,5.0,2,2,0,100.0
2009-01-10,01,フォレストリーヴズ熊本,9,,松村美奈,3,■,■,■,nan,nan,10,4,0,0.4,0.4,1.33,0,0,0,-,1,0.33,10,0,0,3,7.5,33,19,0,57.6
2009-01-10,01,フォレストリーヴズ熊本,10,,山口有香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2009-01-10,01,フォレストリーヴズ熊本,12,,城奈津希,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,3,2,0,66.7
2009-01-10,01,フォレストリーヴズ熊本,13,,和多桃子,3,■,■,■,nan,nan,2,2,0,1.0,1.0,0.67,0,0,0,-,0,-,9,0,1,2,5.6,0,0,0,-
2009-01-10,01,フォレストリーヴズ熊本,15,L,久保みゆき,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,20,14,0,70.0
