試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,1,,鴫原ひなた,1,■,nan,nan,nan,nan,6,3,1,50.0,33.3,3.00,2,1,1,50.0,0,-,2,0,0,2,25.0,6,1,2,33.3,3
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,3,,高橋沙織,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,1,25.0,2,0,1,25.0,0
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,5,,内瀬戸真実,5,■,■,■,■,■,39,11,3,28.2,20.5,2.20,3,1,0,33.3,0,-,13,0,1,1,0.0,29,10,6,44.8,11
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,7,,志智真梨奈,2,□,nan,nan,□,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,2,0,0,0,0.0,3,0,0,0.0,0
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,8,L,榊原美沙都,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,7,2,50.0,0
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,11,,荒木絵里香,5,■,■,■,■,■,21,10,0,47.6,47.6,2.00,0,0,0,-,5,1.00,19,1,2,9,14.5,1,0,1,50.0,16
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,12,,渡邊彩,5,■,■,■,■,■,19,5,2,26.3,15.8,1.00,0,0,0,-,1,0.20,19,1,1,6,11.8,0,0,0,-,7
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,13,,オズソイネリマン,5,■,■,■,■,■,85,44,2,51.8,49.4,8.80,39,22,2,56.4,3,0.60,16,1,2,3,7.8,0,0,0,-,48
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,14,,金本望,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,15,,杉郁香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,16,,中屋夏澄,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,17,,藪田美穂子,5,□,■,■,■,■,24,6,4,25.0,8.3,1.20,3,1,1,33.3,0,-,17,0,2,11,13.2,45,7,18,35.6,6
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,18,,山上有紀,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,1,0.20,19,0,2,9,9.2,0,0,0,-,1
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,20,,山形理沙子,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,0,1,5.0,0,0,0,-,0
2019-11-02,トヨタ車体クインシーズ,埼玉上尾メディックス,3,2,1,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,195,79,12,40.5,34.4,15.80,47,25,4,53.2,10,2.00,113,3,10,43,10.0,102,25,30,39.2,92
