試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-12-21,1,,西村駿佑,3,,□,□,■,,16,9,1,0.5625,0.5,3.00,0,0,0,-,0,-,13,0,1,1,0.0,13,5,6,61.5
2019-12-21,2,,渕江陵友,3,■,■,■,,,12,3,1,0.25,0.16666666666666666,1.00,0,0,0,-,0,-,9,0,0,1,2.8,15,7,4,60.0
2019-12-21,3,,浅川成也,2,□,,,□,,0,0,0,,,-,0,0,0,-,0,-,3,1,1,0,25.0,0,0,0,-
2019-12-21,4,,皆川昂太,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-21,5,,森本浩矢,4,■,■,■,■,,16,7,1,0.4375,0.375,1.75,0,0,0,-,5,1.25,12,0,1,2,2.1,0,0,0,-
2019-12-21,11,L,福島孝輝,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,10,5,78.1
2019-12-21,12,,石黒拓未,4,■,■,■,■,,10,4,0,0.4,0.4,1.00,0,0,0,-,3,0.75,15,0,1,2,1.7,1,1,0,100.0
2019-12-21,13,,松下大悟,4,■,■,■,■,,42,16,8,0.38095238095238093,0.19047619047619047,4.00,9,3,2,33.3,1,0.25,13,1,5,3,3.8,50,37,7,81.0
2019-12-21,14,,田中一希,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-21,15,,坂本凱,1,,,,□,,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2019-12-21,16,,吉岡衛,4,■,■,■,■,,55,31,6,0.5636363636363636,0.45454545454545453,7.75,10,7,2,70.0,2,0.50,20,1,6,1,-1.2,0,0,0,-
2019-12-21,17,,渕江祥平,1,,,□,,,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-
2019-12-21,18,,上坂将輝,4,■,■,■,■,,2,1,0,0.5,0.5,0.25,0,0,0,-,2,0.50,18,0,0,8,11.1,0,0,0,-
2019-12-21,22,,神代優司,1,□,,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-12-21,チーム合計,チーム合計,チーム合計,4,,,,,,153,71,17,0.46405228758169936,0.35294117647058826,17.75,19,10,4,52.6,13,3.25,107,3,16,18,3.3,95,60,22,74.7
