試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,1,,藤中優斗,5,■,■,□,■,■,20,7,1,35.0,30.0,1.40,0,0,0,-,1,0.20,14,0,1,3,3.6,32,17,10,68.8,8
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,2,,金丸晃大,3,nan,□,□,nan,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,3,,伏見大和,5,■,■,■,■,■,15,8,0,53.3,53.3,1.60,0,0,0,-,1,0.20,18,0,4,4,0.0,0,0,0,-,9
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,4,,福山汰一,5,■,■,■,■,■,8,6,0,75.0,75.0,1.20,0,0,0,-,3,0.60,17,1,0,4,11.8,2,1,1,75.0,10
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,6,,フォンテレスフェリペ,3,■,■,■,nan,nan,13,6,2,46.2,30.8,2.00,1,1,0,100.0,0,-,7,0,3,0,-10.7,21,8,5,50.0,6
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,7,,柳澤広平,4,nan,□,■,■,■,22,13,0,59.1,59.1,3.25,0,0,0,-,0,-,15,0,0,5,8.3,12,4,5,54.2,13
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,8,,郡浩也,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,10,,小林光輝,2,nan,nan,nan,□,■,1,0,0,0.0,0.0,-,0,0,0,-,0,-,4,1,0,1,31.2,0,0,0,-,1
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,11,,袴谷亮介,2,■,□,nan,nan,nan,11,3,1,27.3,18.2,1.50,7,2,0,28.6,0,-,4,0,1,3,12.5,0,0,0,-,3
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,12,L,興梠亮,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,14,,西田有志,4,nan,■,■,■,■,49,24,5,49.0,38.8,6.00,20,8,2,40.0,1,0.25,17,2,5,11,20.6,1,0,1,50.0,27
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,16,,久保山尚,4,■,■,■,■,nan,0,0,0,,,-,0,0,0,-,1,0.25,10,0,0,1,2.5,0,0,0,-,1
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,17,L,本間隆太,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,16,8,3,59.4,0
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,19,,浅野博亮,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-11-08,ジェイテクトSTINGS,大分三好ヴァイセアドラー,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,139,67,9,48.2,41.7,13.40,28,11,2,39.3,7,1.40,106,4,14,32,8.0,84,38,25,60.1,78
