試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-12-21,2,,冨永こよみ,5,□,□,■,■,■,2,2,0,1.0,1.0,0.40,0,0,0,-,2,0.40,20,1,1,8,13.8,0,0,0,-
2019-12-21,3,,サンティアゴアライジャダフニ,5,■,■,■,■,■,22,15,1,0.6818181818181818,0.6363636363636364,3.00,0,0,0,-,4,0.80,18,0,2,8,8.3,0,0,0,-
2019-12-21,4,,堀江美志,5,□,■,■,■,■,46,16,1,0.34782608695652173,0.32608695652173914,3.20,5,3,0,60.0,1,0.20,14,0,2,4,3.6,24,12,4,58.3
2019-12-21,6,,山口珠李,1,,□,,,,4,1,1,0.25,0.0,1.00,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-21,7,L,山岸あかね,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,43,24,9,66.3
2019-12-21,8,,吉野優理,5,■,■,■,■,■,45,15,2,0.3333333333333333,0.28888888888888886,3.00,4,1,0,25.0,3,0.60,19,0,1,3,2.6,21,9,6,57.1
2019-12-21,9,,三浦茉実,3,□,,□,,□,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-21,10,,佐藤優花,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-21,11,,青柳京古,5,■,■,■,■,■,17,5,0,0.29411764705882354,0.29411764705882354,1.00,2,0,0,0.0,1,0.20,13,0,0,3,5.8,0,0,0,-
2019-12-21,13,,井上美咲,3,■,■,,□,,2,0,1,0.0,-0.5,-,0,0,0,-,0,-,7,0,2,2,0.0,0,0,0,-
2019-12-21,14,,椎名真子,1,■,,,,,5,1,0,0.2,0.2,1.00,0,0,0,-,0,-,3,0,0,0,0.0,6,3,3,75.0
2019-12-21,17,,シュシュニャルカタリナ,5,■,■,■,■,■,50,20,3,0.4,0.34,4.00,15,3,2,20.0,1,0.20,13,1,3,3,7.7,0,0,0,-
2019-12-21,19,,仁井田桃子,1,,,,□,,2,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,3,0,3,50.0
2019-12-21,23,,大室璃紗,3,□,,□,,□,1,0,0,0.0,0.0,-,0,0,0,-,0,-,0,0,0,0,-,6,2,1,41.7
2019-12-21,チーム合計,チーム合計,チーム合計,5,,,,,,196,75,9,0.3826530612244898,0.336734693877551,15.00,26,7,2,26.9,12,2.40,107,2,11,31,6.5,103,50,26,61.2
