名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
アレクサンドラツルンチェヴィッチ,01,パイオニアレッドウィングス,1,20,207,71,13,34.3,28.0,24,7,7,7,55,2,4,20,148,83,0,80,29.2,3.6,0.4,10.9,56.1
アレクサンドラツルンチェヴィッチ,02,パイオニアレッドウィングス,1,19,149,45,14,30.2,20.8,8,3,0,12,56,1,4,20,117,65,0,58,37.5,2.4,0.6,8.9,55.6
アレクサンドラツルンチェヴィッチ,03,パイオニアレッドウィングス,1,34,302,81,21,26.8,19.9,35,3,4,18,139,7,7,54,219,126,0,106,8.6,2.4,0.5,13.5,57.5
アレクサンドラツルンチェヴィッチ,11,パイオニアレッドウィングス,1,3,24,12,1,50.0,45.8,1,0,1,0,9,1,1,2,33,17,0,13,0.0,4.0,0.0,13.9,51.5
アレクサンドラツルンチェヴィッチ,12,パイオニアレッドウィングス,1,18,175,61,10,34.9,29.1,23,7,4,6,61,3,5,26,150,81,0,70,30.4,3.4,0.3,13.5,54.0
カナニダニエルソン,01,トヨタ車体クインシーズ,23,23,253,100,15,39.5,33.6,22,6,2,8,66,4,0,20,23,10,0,112,27.3,4.3,0.3,13.6,43.5
カナニダニエルソン,02,トヨタ車体クインシーズ,23,28,338,147,19,43.5,37.9,44,19,4,8,102,1,3,34,8,3,0,156,43.2,5.2,0.3,8.6,37.5
カナニダニエルソン,03,トヨタ車体クインシーズ,23,29,359,153,23,42.6,36.2,37,18,1,5,80,2,4,22,39,18,0,160,48.6,5.3,0.2,8.1,46.2
カナニダニエルソン,11,トヨタ車体クインシーズ,23,4,48,10,4,20.8,12.5,2,0,0,1,6,0,1,2,10,5,0,11,0.0,2.5,0.2,4.2,50.0
カナニダニエルソン,12,トヨタ車体クインシーズ,23,17,183,59,14,32.2,24.6,16,6,2,6,54,1,1,11,82,26,0,66,37.5,3.5,0.4,6.5,31.7
シべレバルボザ,01,久光製薬スプリングス,14,9,32,16,2,50.0,43.8,3,1,1,1,9,0,0,2,0,0,0,17,33.3,1.8,0.1,5.6,
シべレバルボザ,02,久光製薬スプリングス,14,12,36,12,1,33.3,30.6,0,0,0,2,2,0,0,0,0,0,0,14,,1.0,0.2,0.0,
シべレバルボザ,03,久光製薬スプリングス,14,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
シべレバルボザ,12,久光製薬スプリングス,14,4,30,14,1,46.7,43.3,0,0,0,0,4,0,1,0,27,10,0,14,,3.5,0.0,-6.2,37.0
ハナクトゥラ,01,NECレッドロケッツ,18,16,61,14,9,23.0,8.2,8,0,2,3,10,0,3,4,1,0,0,17,0.0,0.9,0.2,2.5,0.0
ハナクトゥラ,02,NECレッドロケッツ,18,31,111,45,14,40.5,27.9,4,1,1,17,47,2,7,19,13,6,0,64,25.0,1.5,0.5,10.6,46.2
ハナクトゥラ,03,NECレッドロケッツ,18,29,143,63,9,44.1,37.8,0,0,0,17,60,2,12,22,5,4,0,82,,2.2,0.6,7.5,80.0
ハナクトゥラ,11,NECレッドロケッツ,18,4,32,13,2,40.6,34.4,8,3,1,1,7,0,1,5,0,0,0,14,37.5,3.2,0.2,14.3,
ハナクトゥラ,12,NECレッドロケッツ,18,16,116,37,9,31.9,24.1,31,7,1,5,28,1,3,14,2,2,0,43,22.6,2.3,0.3,13.4,100.0
パオリーニローレン,01,日立リヴァーレ,7,23,159,72,6,45.3,41.5,0,0,0,11,68,2,10,22,0,0,0,85,,3.1,0.5,7.4,
パオリーニローレン,02,日立リヴァーレ,7,32,181,96,11,53.0,47.0,0,0,0,27,100,2,12,32,1,0,0,125,,3.0,0.8,7.0,0.0
パオリーニローレン,03,日立リヴァーレ,7,36,214,101,15,47.2,40.2,0,0,0,30,95,2,9,30,1,1,0,133,,2.8,0.8,7.6,100.0
パオリーニローレン,11,日立リヴァーレ,7,3,20,14,0,70.0,70.0,0,0,0,1,12,1,2,5,0,0,0,16,,4.7,0.3,14.6,
パオリーニローレン,12,日立リヴァーレ,7,22,141,67,10,47.5,40.4,0,0,0,12,70,2,11,25,11,10,0,81,,3.0,0.5,7.9,90.9
ペーニャヨンカイラ,01,東レアローズ,16,25,208,89,21,42.8,32.7,13,4,5,7,86,7,14,32,172,84,0,103,30.8,3.6,0.3,13.4,48.8
ペーニャヨンカイラ,02,東レアローズ,16,33,295,120,33,40.7,29.5,19,4,4,8,131,11,29,37,284,143,0,139,21.1,3.6,0.2,9.9,50.4
ペーニャヨンカイラ,03,東レアローズ,16,30,293,99,32,33.8,22.9,14,3,1,6,101,4,19,29,168,70,0,109,21.4,3.3,0.2,6.4,41.7
ペーニャヨンカイラ,11,東レアローズ,16,3,33,6,4,18.2,6.1,3,0,1,0,9,0,3,4,39,6,0,6,0.0,2.0,0.0,2.8,15.4
ペーニャヨンカイラ,12,東レアローズ,16,24,212,83,27,39.2,26.4,13,3,5,7,95,8,23,33,72,33,0,98,23.1,3.5,0.3,11.1,45.8
三橋聡恵,01,パイオニアレッドウィングス,9,11,63,17,7,27.0,15.9,6,0,2,4,17,0,2,5,79,46,0,21,0.0,1.5,0.4,4.4,58.2
三橋聡恵,02,パイオニアレッドウィングス,9,27,232,56,24,24.1,13.8,13,2,5,6,71,3,7,14,225,121,0,65,15.4,2.1,0.2,6.7,53.8
三橋聡恵,03,パイオニアレッドウィングス,9,34,313,98,31,31.3,21.4,45,10,7,15,94,1,11,20,354,199,0,114,22.2,2.9,0.4,3.5,56.2
三橋聡恵,11,パイオニアレッドウィングス,9,2,6,2,1,33.3,16.7,0,0,0,1,1,0,0,0,7,1,0,3,,1.0,0.5,0.0,14.3
三橋聡恵,12,パイオニアレッドウィングス,9,11,71,20,6,28.2,19.7,9,2,3,2,16,0,1,7,53,28,0,22,22.2,1.8,0.2,9.4,52.8
上屋敷綾,01,JTマーヴェラス,11,17,48,8,4,16.7,8.3,0,0,0,0,34,1,4,15,34,17,0,9,,0.5,0.0,11.0,50.0
上屋敷綾,02,JTマーヴェラス,11,16,5,1,0,20.0,20.0,0,0,0,0,28,1,3,9,3,1,0,2,,0.1,0.0,8.9,33.3
上屋敷綾,03,JTマーヴェラス,11,26,0,0,0,,,0,0,0,0,39,1,2,17,12,7,0,1,,0.0,0.0,12.2,58.3
上屋敷綾,11,JTマーヴェラス,11,1,0,0,0,,,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.0,0.0,
上屋敷綾,12,JTマーヴェラス,11,11,0,0,0,,,0,0,0,0,20,1,4,9,0,0,0,1,,0.0,0.0,11.2,
上野香織,01,NECレッドロケッツ,16,1,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
上野香織,02,NECレッドロケッツ,16,1,2,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,0.0,,
上野香織,11,NECレッドロケッツ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
上野香織,12,NECレッドロケッツ,16,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
下平夏奈,01,東レアローズ,7,2,0,0,0,,,0,0,0,0,2,0,1,0,0,0,0,0,,0.0,0.0,-12.5,
下平夏奈,02,東レアローズ,7,2,0,0,0,,,0,0,0,0,4,0,0,2,0,0,0,0,,0.0,0.0,12.5,
下平夏奈,03,東レアローズ,7,8,0,0,0,,,0,0,0,0,11,1,1,1,0,0,0,1,,0.0,0.0,9.1,
下平夏奈,11,東レアローズ,7,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
下平夏奈,12,東レアローズ,7,14,0,0,0,,,0,0,0,0,20,0,2,9,0,0,0,0,,0.0,0.0,8.8,
中大路絢野,01,久光製薬スプリングス,24,6,3,1,0,33.3,33.3,0,0,0,0,8,0,1,2,0,0,0,1,,0.2,0.0,3.1,
中大路絢野,03,久光製薬スプリングス,24,1,0,0,0,,,0,0,0,0,2,0,0,1,0,0,0,0,,0.0,0.0,12.5,
中道瞳,01,東レアローズ,3,25,5,1,0,20.0,20.0,0,0,0,1,76,3,2,24,2,0,0,5,,0.0,0.0,11.2,0.0
中道瞳,02,東レアローズ,3,33,9,3,0,33.3,33.3,1,1,0,1,95,2,3,30,1,0,0,6,100.0,0.1,0.0,9.2,0.0
中道瞳,03,東レアローズ,3,28,5,3,0,60.0,60.0,0,0,0,0,59,0,0,23,0,0,0,3,,0.1,0.0,9.7,
中道瞳,11,東レアローズ,3,3,0,0,0,,,0,0,0,0,10,0,0,6,0,0,0,0,,0.0,0.0,15.0,
中道瞳,12,東レアローズ,3,19,3,1,0,33.3,33.3,0,0,0,0,64,3,2,21,0,0,0,4,,0.1,0.0,12.1,
丸山亜季,01,岡山シーガルズ,20,20,0,0,0,,,0,0,0,0,0,0,0,0,85,44,0,0,,0.0,0.0,,51.8
丸山亜季,02,岡山シーガルズ,20,29,0,0,0,,,0,0,0,0,0,0,0,0,114,67,0,0,,0.0,0.0,,58.8
丸山亜季,03,岡山シーガルズ,20,33,0,0,0,,,0,0,0,0,0,0,0,0,117,82,0,0,,0.0,0.0,,70.1
丸山亜季,11,岡山シーガルズ,20,4,0,0,0,,,0,0,0,0,0,0,0,0,6,3,0,0,,0.0,0.0,,50.0
丸山亜季,12,岡山シーガルズ,20,21,0,0,0,,,0,0,0,0,0,0,0,0,46,28,0,0,,0.0,0.0,,60.9
二見梓,01,東レアローズ,14,25,90,34,8,37.8,28.9,0,0,0,12,85,2,4,28,4,2,0,48,,1.4,0.5,9.4,50.0
二見梓,02,東レアローズ,14,33,105,41,4,39.0,35.2,0,0,0,20,127,1,4,50,0,0,0,62,,1.2,0.6,9.8,
二見梓,03,東レアローズ,14,28,74,27,5,36.5,29.7,0,0,0,16,87,2,7,21,3,0,0,45,,1.0,0.6,6.3,0.0
二見梓,11,東レアローズ,14,3,10,1,1,10.0,0.0,0,0,0,2,10,0,1,3,0,0,0,3,,0.3,0.7,5.0,
二見梓,12,東レアローズ,14,15,34,15,3,44.1,35.3,0,0,0,7,45,1,1,22,1,1,0,23,,1.0,0.5,13.9,100.0
井上琴絵,03,JTマーヴェラス,10,9,0,0,0,,,0,0,0,0,0,0,0,0,16,10,0,0,,0.0,0.0,,62.5
今野加奈子,01,パイオニアレッドウィングス,8,5,44,13,4,29.5,20.5,5,0,0,0,6,0,0,1,3,3,0,13,0.0,2.6,0.0,4.2,100.0
今野加奈子,02,パイオニアレッドウィングス,8,5,17,4,1,23.5,17.6,3,1,1,0,2,0,0,0,1,0,0,4,33.3,0.8,0.0,0.0,0.0
今野加奈子,03,パイオニアレッドウィングス,8,3,6,1,0,16.7,16.7,0,0,0,0,0,0,0,0,0,0,0,1,,0.3,0.0,,
今野加奈子,11,パイオニアレッドウィングス,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
今野加奈子,12,パイオニアレッドウィングス,8,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤望,01,東レアローズ,19,9,32,14,1,43.8,40.6,0,0,0,5,17,0,1,8,1,0,0,19,,1.6,0.6,10.3,0.0
伊藤望,02,東レアローズ,19,32,135,51,7,37.8,32.6,0,0,0,10,98,4,18,35,3,2,0,65,,1.6,0.3,8.4,66.7
伊藤望,03,東レアローズ,19,21,91,33,6,36.3,29.7,0,0,0,6,63,4,6,21,1,1,0,43,,1.6,0.3,12.3,100.0
伊藤望,11,東レアローズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
伊藤望,12,東レアローズ,19,14,55,21,4,38.2,30.9,0,0,0,5,43,0,3,20,3,3,0,26,,1.5,0.4,9.9,100.0
伊関悠,11,日立リヴァーレ,18,2,0,0,0,,,0,0,0,0,0,0,0,0,1,1,0,0,,0.0,0.0,,100.0
伊関悠,12,日立リヴァーレ,18,1,0,0,0,,,0,0,0,0,0,0,0,0,3,3,0,0,,0.0,0.0,,100.0
位田愛,01,JTマーヴェラス,5,5,8,3,1,37.5,25.0,1,1,0,0,3,0,0,0,2,1,0,3,100.0,0.6,0.0,0.0,50.0
位田愛,12,JTマーヴェラス,5,8,14,9,0,64.3,64.3,0,0,0,1,3,0,0,1,4,4,0,10,,1.1,0.1,8.3,100.0
佐々木侑,01,岡山シーガルズ,3,20,101,28,5,27.7,22.8,3,0,0,10,72,0,1,26,99,51,0,38,0.0,1.4,0.5,8.7,51.5
佐々木侑,02,岡山シーガルズ,3,26,153,54,2,35.3,34.0,1,0,0,5,89,4,1,14,140,74,0,63,0.0,2.1,0.2,8.1,52.9
佐々木侑,03,岡山シーガルズ,3,23,125,44,3,35.2,32.8,1,1,0,3,69,4,3,14,114,59,0,51,100.0,1.9,0.1,9.8,51.8
佐々木侑,11,岡山シーガルズ,3,4,24,10,1,41.7,37.5,1,0,0,2,18,0,2,4,34,19,0,12,0.0,2.5,0.5,2.8,55.9
佐々木侑,12,岡山シーガルズ,3,21,104,40,6,38.5,32.7,7,0,0,7,59,1,0,13,71,30,0,48,0.0,1.9,0.3,7.2,42.3
佐々木美麗,01,日立リヴァーレ,14,14,121,43,5,35.5,31.4,13,5,2,2,33,1,7,7,1,1,0,46,38.5,3.1,0.1,3.0,100.0
佐々木美麗,02,日立リヴァーレ,14,13,66,15,3,22.7,18.2,7,0,1,0,30,0,6,8,43,19,0,15,0.0,1.2,0.0,1.7,44.2
佐々木美麗,03,日立リヴァーレ,14,7,58,16,1,27.6,25.9,2,0,0,3,15,0,3,1,28,11,0,19,0.0,2.3,0.4,-3.3,39.3
佐々木美麗,11,日立リヴァーレ,14,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐々木美麗,12,日立リヴァーレ,14,17,133,41,9,30.8,24.1,9,2,0,1,36,1,7,9,0,0,0,43,22.2,2.4,0.1,4.2,
佐々木萌,01,岡山シーガルズ,7,12,63,18,4,28.6,22.2,3,1,1,1,25,2,0,9,39,17,0,21,33.3,1.5,0.1,17.0,43.6
佐々木萌,02,岡山シーガルズ,7,26,231,82,11,35.5,30.7,3,1,1,0,74,2,3,29,154,100,0,84,33.3,3.2,0.0,11.5,64.9
佐々木萌,03,岡山シーガルズ,7,28,210,53,11,25.2,20.0,3,0,1,2,76,2,4,24,134,82,0,57,0.0,1.9,0.1,9.2,61.2
佐々木萌,11,岡山シーガルズ,7,4,59,12,4,20.3,13.6,2,0,1,0,14,1,1,5,27,20,0,13,0.0,3.0,0.0,14.3,74.1
佐々木萌,12,岡山シーガルズ,7,19,176,42,6,23.9,20.5,6,1,0,7,67,1,5,25,125,64,0,50,16.7,2.2,0.4,9.0,51.2
佐藤あり紗,01,日立リヴァーレ,5,23,0,0,0,,,0,0,0,0,0,0,0,0,81,65,0,0,,0.0,0.0,,80.2
佐藤あり紗,02,日立リヴァーレ,5,32,0,0,0,,,0,0,0,0,0,0,0,0,115,72,0,0,,0.0,0.0,,62.6
佐藤あり紗,03,日立リヴァーレ,5,36,0,0,0,,,0,0,0,0,0,0,0,0,117,83,0,0,,0.0,0.0,,70.9
佐藤あり紗,11,日立リヴァーレ,5,3,0,0,0,,,0,0,0,0,0,0,0,0,9,6,0,0,,0.0,0.0,,66.7
佐藤あり紗,12,日立リヴァーレ,5,22,0,0,0,,,0,0,0,0,0,0,0,0,79,46,0,0,,0.0,0.0,,58.2
佐藤円,01,パイオニアレッドウィングス,18,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
佐藤円,02,パイオニアレッドウィングス,18,9,0,0,0,,,0,0,0,0,12,1,1,2,11,6,0,1,,0.0,0.0,10.4,54.5
佐藤円,03,パイオニアレッドウィングス,18,20,0,0,0,,,0,0,0,0,28,0,1,3,4,1,0,0,,0.0,0.0,1.8,25.0
佐藤円,11,パイオニアレッドウィングス,18,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,0,,0.0,0.0,0.0,
佐藤円,12,パイオニアレッドウィングス,18,4,0,0,0,,,0,0,0,0,6,0,2,0,0,0,0,0,,0.0,0.0,-8.3,
佐藤美弥,01,日立リヴァーレ,8,22,19,6,2,31.6,21.1,0,0,0,9,51,2,3,13,1,0,0,17,,0.3,0.4,8.8,0.0
佐藤美弥,02,日立リヴァーレ,8,32,16,6,1,37.5,31.2,0,0,0,8,64,1,3,25,1,0,0,15,,0.2,0.2,10.2,0.0
佐藤美弥,03,日立リヴァーレ,8,35,18,9,0,50.0,50.0,0,0,0,9,51,0,5,14,2,1,0,18,,0.3,0.3,4.4,50.0
佐藤美弥,11,日立リヴァーレ,8,3,0,0,0,,,0,0,0,0,6,1,0,3,1,0,0,1,,0.0,0.0,29.2,0.0
佐藤美弥,12,日立リヴァーレ,8,20,10,6,0,60.0,60.0,0,0,0,4,44,0,4,23,1,0,0,10,,0.3,0.2,10.8,0.0
倉見夏乃,03,パイオニアレッドウィングス,21,19,51,19,4,37.3,29.4,0,0,0,9,37,1,0,12,2,0,0,29,,1.0,0.5,10.8,0.0
倉見夏乃,11,パイオニアレッドウィングス,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
八幡美樹,01,NECレッドロケッツ,1,1,6,1,0,16.7,16.7,0,0,0,0,2,0,0,2,6,5,0,1,,1.0,0.0,25.0,83.3
八幡美樹,02,NECレッドロケッツ,1,5,21,9,3,42.9,28.6,1,1,0,0,13,1,0,4,20,9,0,10,100.0,1.8,0.0,15.4,45.0
八幡美樹,03,NECレッドロケッツ,1,6,22,6,3,27.3,13.6,1,0,0,0,6,0,0,1,11,8,0,6,0.0,1.0,0.0,4.2,72.7
八幡美樹,11,NECレッドロケッツ,1,3,17,7,0,41.2,41.2,1,0,0,1,7,0,1,2,22,16,0,8,0.0,2.3,0.3,3.6,72.7
八幡美樹,12,NECレッドロケッツ,1,10,64,17,2,26.6,23.4,0,0,0,1,29,0,2,6,65,40,0,18,,1.7,0.1,3.4,61.5
内瀬戸真実,01,日立リヴァーレ,10,12,18,2,3,11.1,-5.6,0,0,0,1,19,0,4,4,63,41,0,3,,0.2,0.1,0.0,65.1
内瀬戸真実,02,日立リヴァーレ,10,8,32,11,1,34.4,31.2,0,0,0,1,17,1,1,7,13,10,0,13,,1.4,0.1,14.7,76.9
内瀬戸真実,03,日立リヴァーレ,10,29,102,35,3,34.3,31.4,1,0,0,6,64,2,3,28,176,118,0,43,0.0,1.2,0.2,12.9,67.0
内田暁子,01,NECレッドロケッツ,4,25,195,63,5,32.3,29.7,6,0,1,3,72,3,2,32,88,48,0,69,0.0,2.5,0.1,14.6,54.5
内田暁子,02,NECレッドロケッツ,4,29,158,53,10,33.5,27.2,9,3,1,4,95,5,4,40,73,42,0,62,33.3,1.8,0.1,14.7,57.5
内田暁子,03,NECレッドロケッツ,4,25,68,20,5,29.4,22.1,3,0,1,0,53,2,0,22,17,9,0,22,0.0,0.8,0.0,14.2,52.9
内田暁子,11,NECレッドロケッツ,4,4,15,4,1,26.7,20.0,0,0,0,0,4,0,0,0,9,3,0,4,,1.0,0.0,0.0,33.3
内田暁子,12,NECレッドロケッツ,4,18,140,47,2,33.6,32.1,1,1,0,0,54,2,2,21,109,59,0,49,100.0,2.6,0.0,12.5,54.1
