試合日,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,2,,稲葉早生,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,6,,村永奈央,5,■,■,■,■,■,43,8,0,18.6,18.6,1.60,0,0,0,-,3,0.60,15,1,1,5,13.3,52,12,15,37.5,12
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,7,,渡邊彩,5,■,■,■,■,■,11,2,1,18.2,9.1,0.40,0,0,0,-,1,0.20,10,1,0,2,15.0,3,0,1,16.7,4
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,8,L,榊原美沙都,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,5,2,42.9,0
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,9,,辻彩乃,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,10,,熊井風音,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,11,,荒木絵里香,5,■,■,■,■,■,20,11,0,55.0,55.0,2.20,0,0,0,-,7,1.40,21,4,0,8,28.6,0,0,0,-,22
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,13,,ソロカイテインドレ,5,■,■,■,■,■,53,10,2,18.9,15.1,2.00,18,3,1,16.7,1,0.20,13,0,2,0,-3.8,0,0,0,-,11
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,14,,松本亜弥華,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,15,,杉郁香,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,16,,中屋夏澄,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,17,,藪田美穂子,5,■,■,■,■,■,46,16,4,34.8,26.1,3.20,4,1,1,25.0,1,0.20,21,0,1,6,6.0,21,9,3,50.0,17
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,18,,山上有紀,4,■,■,■,■,nan,1,0,0,0.0,0.0,-,0,0,0,-,0,-,8,0,2,0,-6.2,1,0,0,0.0,0
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,20,,山形理沙子,3,nan,nan,□,□,■,1,1,0,100.0,100.0,0.33,0,0,0,-,0,-,7,1,0,4,28.6,0,0,0,-,2
2020-10-18,トヨタ車体クインシーズ,日立リヴァーレ,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,175,48,7,27.4,23.4,9.60,22,4,2,18.2,13,2.60,98,7,6,25,12.0,91,26,21,40.1,68
