試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2020-02-09,トヨタモビリティ東京スパークル,1,,岩阪健太郎,5,■,■,■,■,■,15,8,0,0.5333333333333333,0.5333333333333333,1.60,0,0,0,-,7,1.40,7,0,0,2,7.1,2,0,1,25.0
2020-02-09,トヨタモビリティ東京スパークル,2,,為我井太也,5,■,■,■,■,■,10,1,2,0.1,-0.1,0.20,0,0,0,-,0,-,14,1,3,2,5.4,1,0,0,0.0
2020-02-09,トヨタモビリティ東京スパークル,4,,西河孝太,5,■,■,■,■,■,28,15,2,0.5357142857142857,0.4642857142857143,3.00,2,0,1,0.0,3,0.60,18,0,0,2,2.8,55,17,20,49.1
2020-02-09,トヨタモビリティ東京スパークル,5,L,峰尾拓,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,15,3,5,36.7
2020-02-09,トヨタモビリティ東京スパークル,6,,大貫智博,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2020-02-09,トヨタモビリティ東京スパークル,7,,石井琢也,5,■,■,■,■,■,34,11,1,0.3235294117647059,0.29411764705882354,2.20,4,0,0,0.0,1,0.20,12,0,0,3,6.2,1,0,0,0.0
2020-02-09,トヨタモビリティ東京スパークル,8,,西片圭佑,5,□,□,□,□,□,6,2,0,0.3333333333333333,0.3333333333333333,0.40,3,0,0,0.0,1,0.20,8,1,0,2,18.8,0,0,0,-
2020-02-09,トヨタモビリティ東京スパークル,9,,大楽祥生,2,nan,□,nan,nan,□,0,0,0,,,-,0,0,0,-,0,-,4,0,1,3,12.5,0,0,0,-
2020-02-09,トヨタモビリティ東京スパークル,13,,田中湧朔,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,2,1,-8.3,0,0,0,-
2020-02-09,トヨタモビリティ東京スパークル,14,,岸海斗,5,■,■,■,■,■,33,12,0,0.36363636363636365,0.36363636363636365,2.40,0,0,0,-,0,-,17,0,0,4,5.9,0,0,0,-
2020-02-09,トヨタモビリティ東京スパークル,15,,新山駿,5,■,■,■,■,■,42,7,3,0.16666666666666666,0.09523809523809523,1.40,2,0,1,0.0,1,0.20,16,1,4,5,7.8,13,7,4,69.2
2020-02-09,トヨタモビリティ東京スパークル,16,,松本敬三,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2020-02-09,トヨタモビリティ東京スパークル,17,,筧颯斗,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,-25.0,0,0,0,-
2020-02-09,トヨタモビリティ東京スパークル,18,,鈴木浩大,2,nan,nan,□,nan,□,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0,0,-
2020-02-09,トヨタモビリティ東京スパークル,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,168,56,8,0.3333333333333333,0.2857142857142857,11.20,11,0,2,0.0,13,2.60,104,3,12,25,6.0,87,27,30,48.3
