試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,被アタック打数,被アタック得点,被アタック失点,被アタック決定率,被ブロック得点,被ブロックセット平均,被サーブ効果率,被サーブレシーブ成功率
2020-10-18,JTサンダーズ広島,2,,小野寺太志,3,■,■,■,nan,nan,9,4,1,0.4444444444444444,0.3333333333333333,1.33,0,0,0,-,6,2.00,10,1,0,2,15.0,0,0,0,-,,,,,,,,
2020-10-18,JTサンダーズ広島,3,,深津旭弘,3,■,■,■,nan,nan,1,1,0,1.0,1.0,0.33,0,0,0,-,1,0.33,16,0,1,5,6.2,1,0,0,0.0,,,,,,,,
2020-10-18,JTサンダーズ広島,4,,中島健太,2,□,nan,□,nan,nan,1,1,0,1.0,1.0,0.50,0,0,0,-,0,-,2,0,1,1,0.0,0,0,0,-,,,,,,,,
2020-10-18,JTサンダーズ広島,5,,井上慎一朗,3,■,■,■,nan,nan,16,9,1,0.5625,0.5,3.00,3,1,0,33.3,1,0.33,8,1,3,2,9.4,8,4,2,62.5,,,,,,,,
2020-10-18,JTサンダーズ広島,6,,エドガートーマス,3,■,■,■,nan,nan,20,11,0,0.55,0.55,3.67,5,3,0,60.0,0,-,8,1,2,1,9.4,0,0,0,-,,,,,,,,
2020-10-18,JTサンダーズ広島,8,,武智洸史,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-18,JTサンダーズ広島,10,L,井上航,1,nan,nan,〇,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,2,1,1,75.0,,,,,,,,
2020-10-18,JTサンダーズ広島,12,,合田心平,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,0,1,8.3,0,0,0,-,,,,,,,,
2020-10-18,JTサンダーズ広島,14,,熊倉允,2,nan,□,□,nan,nan,7,3,0,0.42857142857142855,0.42857142857142855,1.50,3,2,0,66.7,0,-,3,0,1,1,0.0,1,0,1,50.0,,,,,,,,
2020-10-18,JTサンダーズ広島,15,L,唐川大志,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,7,4,1,64.3,,,,,,,,
2020-10-18,JTサンダーズ広島,16,,西知恕,3,■,■,■,nan,nan,5,4,0,0.8,0.8,1.33,0,0,0,-,0,-,12,1,1,1,8.3,1,1,0,100.0,,,,,,,,
2020-10-18,JTサンダーズ広島,17,,金子聖輝,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-18,JTサンダーズ広島,18,,山本将平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,,,,,,,,
2020-10-18,JTサンダーズ広島,19,,陳建禎,3,■,■,■,nan,nan,13,4,2,0.3076923076923077,0.15384615384615385,1.33,2,0,1,0.0,1,0.33,12,0,1,3,4.2,15,6,3,50.0,,,,,,,,
2020-10-18,JTサンダーズ広島,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,72,37,4,0.5138888888888888,0.4583333333333333,12.33,13,6,1,46.2,9,3.00,74,4,10,17,7.8,35,16,8,57.1,84,31,7,36.9,1,0.33,1.0,56.2
