名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
三芳健斗,03,富士通カワサキレッドスピリッツ,6,3,11,7,0,63.6,63.6,0,0,0,0,6,0,1,2,1,1,0,,2.3,0.0,4.2,100.0
上場雄也,03,つくばユナイテッドSunGAIA,2,22,51,22,4,43.1,35.3,19,6,3,6,18,1,0,6,1,1,0,31.6,1.0,0.3,13.9,100.0
上場雄也,03,東京ヴェルディ,20,5,7,4,1,57.1,42.9,2,1,0,2,2,0,0,1,0,0,0,50.0,0.8,0.4,12.5,
下田健一,03,警視庁フォートファイターズ,11,12,112,39,10,34.8,25.9,37,9,5,0,35,1,6,9,1,1,0,24.3,3.2,0.0,5.0,100.0
中島悠太,03,東京ヴェルディ,10,30,112,56,8,50.0,42.9,0,0,0,20,101,2,4,17,3,2,0,,1.9,0.7,5.2,66.7
中田亮二,03,近畿クラブスフィーダ,10,8,0,0,0,,,0,0,0,0,12,0,1,2,0,0,0,,0.0,0.0,2.1,
中田学,03,警視庁フォートファイターズ,24,14,106,39,13,36.8,24.5,16,5,5,2,39,0,11,5,8,7,0,31.2,2.8,0.1,-3.8,87.5
中谷宏大,03,FC東京,15,4,0,0,0,,,0,0,0,0,0,0,0,0,18,7,0,,0.0,0.0,,38.9
中道淑人,03,大同特殊鋼レッドスター,17,7,0,0,0,,,0,0,0,0,9,0,4,2,0,0,0,,0.0,0.0,-5.6,
久田利彦,03,つくばユナイテッドSunGAIA,17,26,0,0,0,,,0,0,0,0,0,0,0,0,206,156,0,,0.0,0.0,,75.7
井上人哉,03,警視庁フォートファイターズ,7,21,0,0,0,,,0,0,0,0,12,0,1,6,46,34,0,,0.0,0.0,10.4,73.9
今一騎,03,富士通カワサキレッドスピリッツ,5,22,165,78,18,47.3,36.4,39,15,6,5,85,4,22,20,2,1,0,38.5,3.5,0.2,4.1,50.0
伊東克明,03,FC東京,9,26,118,60,16,50.8,37.3,10,5,2,4,83,2,16,17,130,100,0,50.0,2.3,0.2,2.7,76.9
伊藤勲男,03,近畿クラブスフィーダ,19,17,150,65,22,43.3,28.7,16,4,6,2,68,4,20,14,9,5,0,25.0,3.8,0.1,3.7,55.6
倉田真,03,大同特殊鋼レッドスター,4,23,180,82,14,45.6,37.8,30,16,6,11,103,5,18,23,104,78,0,53.3,3.6,0.5,6.1,75.0
児島啓吾,03,大同特殊鋼レッドスター,5,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
其原健太,03,ジェイテクトSTINGS,11,7,38,22,1,57.9,55.3,4,3,0,0,21,1,7,3,19,15,0,75.0,3.1,0.0,0.0,78.9
加賀龍哉,03,FC東京,14,9,0,0,0,,,0,0,0,1,0,0,0,0,0,0,0,,0.0,0.1,,
勝田祥平,03,富士通カワサキレッドスピリッツ,7,8,17,6,4,35.3,11.8,4,2,0,2,23,3,7,5,37,26,0,50.0,0.8,0.2,10.9,70.3
北沢浩,03,富士通カワサキレッドスピリッツ,15,23,16,10,0,62.5,62.5,0,0,0,3,81,2,3,21,2,0,0,,0.4,0.1,8.0,0.0
古田史郎,03,東京ヴェルディ,3,8,20,9,2,45.0,35.0,10,5,1,0,12,0,2,3,0,0,0,50.0,1.1,0.0,2.1,
