試合日,チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-12-07,ジェイテクトSTINGS,1,,藤中優斗,3,■,■,■,nan,nan,4,2,1,0.5,0.25,0.67,0,0,0,-,0,-,15,0,0,1,1.7,11,9,2,90.9
2019-12-07,ジェイテクトSTINGS,2,,金丸晃大,3,□,□,□,nan,nan,1,0,1,0.0,-1.0,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-
2019-12-07,ジェイテクトSTINGS,3,,伏見大和,3,■,■,■,nan,nan,7,4,1,0.5714285714285714,0.42857142857142855,1.33,0,0,0,-,3,1.00,13,2,4,2,11.5,0,0,0,-
2019-12-07,ジェイテクトSTINGS,4,,福山汰一,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-07,ジェイテクトSTINGS,5,,饒書涵,3,■,■,■,nan,nan,8,7,0,0.875,0.875,2.33,0,0,0,-,0,-,6,0,1,1,0.0,2,1,1,75.0
2019-12-07,ジェイテクトSTINGS,6,,カジースキマテイ,3,■,■,■,nan,nan,13,7,1,0.5384615384615384,0.46153846153846156,2.33,3,1,0,33.3,0,-,8,0,1,1,0.0,13,7,4,69.2
2019-12-07,ジェイテクトSTINGS,7,,柳澤広平,3,□,□,□,nan,nan,9,2,0,0.2222222222222222,0.2222222222222222,0.67,0,0,0,-,0,-,2,0,0,0,0.0,4,1,0,25.0
2019-12-07,ジェイテクトSTINGS,10,,小林光輝,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-07,ジェイテクトSTINGS,11,,袴谷亮介,1,nan,nan,□,nan,nan,3,3,0,1.0,1.0,3.00,1,1,0,100.0,1,1.00,1,0,0,0,0.0,0,0,0,-
2019-12-07,ジェイテクトSTINGS,12,L,興梠亮,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-12-07,ジェイテクトSTINGS,14,,西田有志,3,■,■,■,nan,nan,21,11,2,0.5238095238095238,0.42857142857142855,3.67,4,1,1,25.0,1,0.33,16,1,4,6,9.4,0,0,0,-
2019-12-07,ジェイテクトSTINGS,15,,中根聡太,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,2,0.67,11,0,1,2,2.3,0,0,0,-
2019-12-07,ジェイテクトSTINGS,17,L,本間隆太,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,12,8,2,75.0
2019-12-07,ジェイテクトSTINGS,19,,浅野博亮,1,□,nan,nan,nan,nan,1,1,0,1.0,1.0,1.00,0,0,0,-,0,-,0,0,0,0,-,2,0,1,25.0
2019-12-07,ジェイテクトSTINGS,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,67,37,6,0.5522388059701493,0.4626865671641791,12.33,8,3,1,37.5,7,2.33,73,3,11,13,4.8,44,26,10,70.5
