名前,月,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,総得点,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
ソトへクター,01,パナソニックパンサーズ,17,40,299,171,14,57.2,52.5,47,33,1,9,154,6,32,43,209,127,0,186,70.2,4.3,0.2,5.7,60.8
ソトへクター,02,パナソニックパンサーズ,17,37,309,171,18,55.3,49.5,56,29,1,7,141,6,23,50,147,70,0,184,51.8,4.6,0.2,9.0,47.6
ソトへクター,03,パナソニックパンサーズ,17,36,307,171,19,55.7,49.5,56,33,4,15,137,9,25,31,129,94,0,195,58.9,4.8,0.4,7.7,72.9
ニコロフウラジミール,01,東レアローズ,11,35,344,182,29,52.9,44.5,143,73,19,11,151,17,32,61,0,0,0,210,51.0,5.2,0.3,16.1,
ニコロフウラジミール,02,東レアローズ,11,41,407,200,40,49.1,39.3,173,75,25,19,177,22,44,73,1,1,0,241,43.4,4.9,0.5,16.5,100.0
ニコロフウラジミール,03,東レアローズ,11,35,372,186,36,50.0,40.3,118,58,10,15,155,17,39,59,0,0,0,218,49.2,5.3,0.4,14.2,
ビッタールファビアノ,01,豊田合成トレフェルサ,4,33,272,133,40,48.9,34.2,99,52,17,19,140,14,49,53,0,0,0,166,52.5,4.0,0.6,10.7,
ビッタールファビアノ,02,豊田合成トレフェルサ,4,29,256,130,28,50.8,39.8,117,60,18,4,124,19,47,38,1,0,0,153,51.3,4.5,0.1,13.5,0.0
ビッタールファビアノ,03,豊田合成トレフェルサ,4,41,333,167,51,50.2,34.8,159,81,25,17,160,9,58,57,4,0,0,193,50.9,4.1,0.4,5.5,0.0
ピントロドリゴ,01,堺ブレイザーズ,10,36,343,195,25,56.9,49.6,152,90,15,16,132,4,28,40,1,0,0,215,59.2,5.4,0.4,5.3,0.0
