名前,チーム,背番号,出場数,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,バックアタック打数,バックアタック得点,バックアタック失点,ブロック得点,サーブ打数,サーブ得点,サーブ失点,サーブ効果,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,バックアタック決定率,アタックセット平均,ブロックセット平均,サーブ効果率,サーブレシーブ成功率
イェルツィンヒド,パナソニックパンサーズ,5,70,565,287,49,50.8,42.1,113,65,7,33,275,29,78,86,467,369,0,57.5,4.1,0.5,11.3,79.0
シュレーポフイーゴリー,JTサンダーズ,21,67,532,276,22,51.9,47.7,85,32,6,46,250,2,13,47,511,394,0,37.6,4.1,0.7,4.2,77.1
ジルソンベルナルド,サントリーサンバーズ,16,66,679,377,90,55.5,42.3,325,172,51,33,279,41,100,81,5,1,0,52.9,5.7,0.5,13.0,20.0
ファンダールミューレンオロフ,NECブルーロケッツ,29,65,563,270,54,48.0,38.4,198,100,25,31,292,29,59,81,1,1,0,50.5,4.2,0.5,11.8,100.0
フランコサムエル,豊田合成トレフェルサ,15,66,212,114,18,53.8,45.3,12,4,4,45,225,12,39,52,6,4,0,33.3,1.7,0.7,6.8,66.7
ホフトーマス,東レアローズ,19,66,272,170,16,62.5,56.6,2,1,1,52,235,5,17,63,13,11,0,50.0,2.6,0.8,7.0,84.6
ルイスアルベルダシルバ,堺ブレイザーズ,13,59,534,271,55,50.7,40.4,226,120,32,25,262,20,59,85,8,4,0,53.1,4.6,0.4,10.1,50.0
上村進也,パナソニックパンサーズ,19,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,,,,
上田芳裕,サントリーサンバーズ,9,1,2,1,0,50.0,50.0,0,0,0,0,2,0,1,0,0,0,0,,1.0,0.0,-12.5,
上野敦史,豊田合成トレフェルサ,18,2,0,0,0,,,0,0,0,0,2,0,0,0,0,0,0,,0.0,0.0,0.0,
下村英士,JTサンダーズ,16,21,2,1,0,50.0,50.0,0,0,0,2,46,0,1,6,0,0,0,,0.0,0.1,2.7,
下田悟,JTサンダーズ,7,3,0,0,0,,,0,0,0,0,2,0,0,0,5,3,0,,0.0,0.0,0.0,60.0
