試合日,チーム,相手チーム,得セット,失セット,勝敗,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2015-11-21,きんでんトリニティーブリッツ,VC長野トライデンツ,2,3,0,19,,黒木隆生,5,■,■,■,■,■,17,11,2,64.7,52.9,2.20,0,0,0,-,0,-,16,0,1,3,4.7,1,1,0,100.0,11
2015-11-21,きんでんトリニティーブリッツ,VC長野トライデンツ,2,3,0,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,120,59,10,49.2,40.8,11.80,15,8,1,53.3,14,2.80,105,5,14,26,10.4,86,53,0,61.6,78
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,1,,市川智之,5,■,■,■,■,■,16,4,0,25.0,25.0,0.80,0,0,0,-,4,0.80,7,0,1,2,7.1,2,2,0,100.0,8
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,4,,小林哲也,5,■,■,■,■,■,38,17,4,44.7,34.2,3.40,17,7,4,41.2,1,0.20,21,3,0,8,22.9,0,0,0,-,21
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,5,L,峰尾拓,5,●,●,●,●,●,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,26,18,0,69.2,0
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,6,,峯村幸太,5,■,■,■,■,■,28,12,0,42.9,42.9,2.40,4,3,0,75.0,2,0.40,18,1,2,4,11.1,25,17,0,68.0,15
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,7,,栗木勇,5,■,■,■,■,■,45,20,4,44.4,35.6,4.00,8,4,2,50.0,2,0.40,15,0,3,5,8.3,31,21,0,67.7,22
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,9,,小池和貴,1,nan,□,nan,nan,nan,1,0,1,0.0,-100.0,-,0,0,0,-,0,-,3,0,0,0,0.0,1,0,0,0.0,0
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,10,L,杉山嵩樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,13,,酒井駿,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,14,,杉山奨弥,4,□,nan,□,□,□,0,0,0,,,-,0,0,0,-,0,-,6,0,1,2,8.3,0,0,0,-,0
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,16,,森崎健史,5,■,■,■,■,■,8,2,0,25.0,25.0,0.40,0,0,0,-,0,-,13,0,1,7,13.5,4,3,0,75.0,2
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,19,,村松俊輔,4,□,□,□,□,nan,8,3,2,37.5,12.5,0.75,2,0,1,0.0,0,-,3,0,0,0,0.0,0,0,0,-,3
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,20,,多田将希,5,■,■,■,■,■,0,0,0,,,-,0,0,0,-,0,-,8,0,1,2,6.2,0,0,0,-,0
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,25,,中谷光,2,nan,□,nan,nan,□,0,0,0,,,-,0,0,0,-,0,-,4,0,0,2,12.5,0,0,0,-,0
2015-11-21,VC長野トライデンツ,きんでんトリニティーブリッツ,3,2,1,チーム合計,チーム合計,チーム合計,5,nan,nan,nan,nan,nan,144,58,11,40.3,32.6,11.60,31,14,7,45.2,9,1.80,98,4,9,32,12.0,89,61,0,68.5,71
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,2,,梶野喜宏,4,■,■,■,■,nan,2,1,0,50.0,50.0,0.25,0,0,0,-,2,0.50,16,0,0,2,3.1,0,0,0,-,3
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,3,,河戸俊亮,4,■,■,■,■,nan,12,5,2,41.7,25.0,1.25,0,0,0,-,4,1.00,7,0,0,3,10.7,0,0,0,-,9
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,4,L,山田翔太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,7,,石田康祐,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,0.0,0,0,0,-,0
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,9,,本多駿,4,■,■,■,■,nan,40,24,2,60.0,55.0,6.00,5,4,0,80.0,4,1.00,14,1,5,1,7.5,41,29,0,70.7,29
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,10,,繁田康平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,11,,片渕貴史,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,18,L,有薗亮平,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,27,14,0,51.9,0
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,20,,北村將,4,■,■,■,■,nan,21,9,1,42.9,38.1,2.25,0,0,0,-,0,-,16,1,1,1,6.6,12,10,0,83.3,10
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,22,,川口喬,4,■,■,■,■,nan,10,7,1,70.0,60.0,1.75,0,0,0,-,3,0.75,13,0,2,1,1.9,0,0,0,-,10
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,24,,小林空,4,■,■,■,■,nan,25,11,3,44.0,32.0,2.75,9,4,1,44.4,2,0.50,23,2,4,5,13.3,0,0,0,-,15
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,27,,田中絢人,4,□,□,□,□,nan,0,0,0,,,-,0,0,0,-,0,-,5,0,1,2,10.0,0,0,0,-,0
2015-11-21,近畿クラブスフィーダ,奈良ドリーマーズ,3,1,1,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,110,57,9,51.8,43.6,14.25,14,8,1,57.1,15,3.75,97,4,14,15,7.4,80,53,0,66.2,76
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,1,,渡邊徹,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,2,L,米村尊,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,13,0,72.2,0
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,3,,松島真,4,■,■,■,■,nan,2,2,0,100.0,100.0,0.50,0,0,0,-,0,-,17,1,2,5,12.1,1,1,0,100.0,3
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,4,,下町浩二,4,■,■,■,□,nan,14,6,3,42.9,21.4,1.50,0,0,0,-,1,0.25,6,0,2,2,8.3,1,1,0,100.0,7
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,5,,清水久雄,4,■,■,■,■,nan,11,6,1,54.5,45.5,1.50,0,0,0,-,1,0.25,14,1,1,4,14.3,34,30,0,88.2,8
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,6,,岩田晃祐,1,nan,nan,nan,□,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,7,,野口将秀,4,■,■,■,■,nan,55,29,2,52.7,49.1,7.25,9,5,0,55.6,1,0.25,14,0,2,2,3.6,6,5,0,83.3,30
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,8,L,丹下雅行,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,9,,河田浩忠,4,■,■,■,■,nan,26,10,2,38.5,30.8,2.50,4,1,1,25.0,1,0.25,21,0,1,10,11.9,18,11,0,61.1,11
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,10,,柿木秀人,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,12,,古牧佑太,4,□,□,□,■,nan,2,0,0,0.0,0.0,-,0,0,0,-,0,-,4,0,1,2,12.5,0,0,0,-,0
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,13,,田中佑輔,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,14,,久堀雄世,4,■,■,■,■,nan,10,4,0,40.0,40.0,1.00,0,0,0,-,2,0.50,11,0,2,1,2.3,3,2,0,66.7,6
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,15,,山下博史,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,0.0,0,0,0,-,0
2015-11-21,奈良ドリーマーズ,近畿クラブスフィーダ,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,120,57,8,47.5,40.8,14.25,13,6,1,46.2,6,1.50,93,2,12,26,8.9,81,63,0,77.8,65
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,2,,篠田学,3,■,■,■,nan,nan,12,6,0,50.0,50.0,2.00,1,1,0,100.0,0,-,15,0,0,4,6.7,14,9,0,64.3,6
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,3,,藤原裕和,3,■,■,■,nan,nan,4,3,0,75.0,75.0,1.00,0,0,0,-,2,0.67,4,0,1,1,6.2,1,1,0,100.0,5
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,5,,荒木優,3,■,■,■,nan,nan,3,3,0,100.0,100.0,1.00,0,0,0,-,2,0.67,14,0,0,3,5.4,0,0,0,-,5
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,6,L,古家康隆,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,10,,吉岡佳徳,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,12,,大町和幸,3,■,■,■,nan,nan,15,3,4,20.0,-6.7,1.00,5,1,2,20.0,1,0.33,13,2,2,3,19.6,7,5,0,71.4,6
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,13,,中野壮一朗,3,■,■,■,nan,nan,10,3,1,30.0,20.0,1.00,0,0,0,-,6,2.00,5,0,1,2,10.0,1,1,0,100.0,9
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,17,,浅野晶,3,■,■,■,nan,nan,23,9,4,39.1,21.7,3.00,2,0,2,0.0,1,0.33,11,0,2,5,11.4,2,1,0,50.0,10
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,18,,上田日登,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,21,L,冷水亮,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,25,20,0,80.0,0
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,28,,関根翔太,1,nan,□,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,29,,大井手脩輔,1,nan,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,0
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,33,,渡辺大亮,3,□,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,8,2,2,3,31.9,0,0,0,-,2
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,35,,松元翔太郎,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-21,千葉ZELVA,兵庫デルフィーノ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,67,27,9,40.3,26.9,9.00,8,2,4,25.0,12,4.00,72,4,9,21,12.3,50,37,0,74.0,43
2015-11-21,兵庫デルフィーノ,千葉ZELVA,0,3,0,2,,白川佑樹,3,■,■,■,nan,nan,2,0,1,0.0,-50.0,-,0,0,0,-,0,-,10,1,2,4,18.0,0,0,0,-,1
2015-11-21,兵庫デルフィーノ,千葉ZELVA,0,3,0,3,,原田将志,3,■,■,■,nan,nan,5,1,1,20.0,0.0,0.33,0,0,0,-,2,0.67,8,1,2,1,13.1,0,0,0,-,4
2015-11-21,兵庫デルフィーノ,千葉ZELVA,0,3,0,4,,川合翔太,3,■,■,■,nan,nan,40,19,6,47.5,32.5,6.33,16,9,1,56.2,3,1.00,11,4,3,2,37.3,0,0,0,-,26
2015-11-21,兵庫デルフィーノ,千葉ZELVA,0,3,0,9,,竹永大樹,3,■,■,■,nan,nan,16,3,4,18.8,-6.2,1.00,1,0,0,0.0,2,0.67,11,1,3,5,18.6,5,3,0,60.0,6
2015-11-21,兵庫デルフィーノ,千葉ZELVA,0,3,0,10,,奥長勝之,3,■,■,■,nan,nan,9,2,1,22.2,11.1,0.67,0,0,0,-,0,-,7,0,1,0,0.0,30,20,0,66.7,2
2015-11-21,兵庫デルフィーノ,千葉ZELVA,0,3,0,14,L,田渕慎一郎,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,21,15,0,71.4,0
2015-11-21,兵庫デルフィーノ,千葉ZELVA,0,3,0,15,,吉田政俊,3,■,■,■,nan,nan,8,3,0,37.5,37.5,1.00,0,0,0,-,0,-,15,0,1,1,1.7,0,0,0,-,3
2015-11-21,兵庫デルフィーノ,千葉ZELVA,0,3,0,16,,村田峻一,2,nan,□,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,0.0,5,2,0,40.0,0
2015-11-21,兵庫デルフィーノ,千葉ZELVA,0,3,0,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,80,28,13,35.0,18.8,9.33,17,9,1,52.9,7,2.33,65,7,13,13,14.2,61,40,0,65.6,42
2015-11-22,兵庫デルフィーノ,VC長野トライデンツ,0,3,0,2,,白川佑樹,2,■,■,nan,nan,nan,12,5,0,41.7,41.7,2.50,3,1,0,33.3,0,-,5,0,0,2,10.0,0,0,0,-,5
2015-11-22,兵庫デルフィーノ,VC長野トライデンツ,0,3,0,3,,原田将志,2,nan,□,■,nan,nan,3,1,0,33.3,33.3,0.50,0,0,0,-,0,-,8,0,1,2,6.2,0,0,0,-,1
2015-11-22,兵庫デルフィーノ,VC長野トライデンツ,0,3,0,4,,川合翔太,3,■,■,■,nan,nan,28,12,1,42.9,39.3,4.00,4,1,0,25.0,2,0.67,10,1,3,5,20.5,0,0,0,-,15
2015-11-22,兵庫デルフィーノ,VC長野トライデンツ,0,3,0,8,,今村雄登,3,■,■,■,nan,nan,2,1,0,50.0,50.0,0.33,0,0,0,-,1,0.33,7,0,2,3,10.7,0,0,0,-,2
2015-11-22,兵庫デルフィーノ,VC長野トライデンツ,0,3,0,9,,竹永大樹,3,■,■,■,nan,nan,28,11,4,39.3,25.0,3.67,5,2,1,40.0,0,-,7,0,3,3,10.7,2,2,0,100.0,11
2015-11-22,兵庫デルフィーノ,VC長野トライデンツ,0,3,0,10,,奥長勝之,3,■,■,■,nan,nan,15,6,1,40.0,33.3,2.00,0,0,0,-,0,-,10,0,2,0,0.0,33,19,0,57.6,6
2015-11-22,兵庫デルフィーノ,VC長野トライデンツ,0,3,0,14,L,田渕慎一郎,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,28,22,0,78.6,0
2015-11-22,兵庫デルフィーノ,VC長野トライデンツ,0,3,0,15,,吉田政俊,3,■,■,■,nan,nan,6,1,0,16.7,16.7,0.33,0,0,0,-,3,1.00,15,3,4,4,25.3,2,2,0,100.0,7
2015-11-22,兵庫デルフィーノ,VC長野トライデンツ,0,3,0,16,,村田峻一,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-22,兵庫デルフィーノ,VC長野トライデンツ,0,3,0,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,94,37,6,39.4,33.0,12.33,12,4,1,33.3,6,2.00,62,4,15,19,13.5,65,45,0,69.2,47
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,1,,市川智之,3,■,■,■,nan,nan,9,4,1,44.4,33.3,1.33,0,0,0,-,3,1.00,8,0,1,1,3.1,0,0,0,-,7
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,4,,小林哲也,3,■,■,■,nan,nan,17,7,1,41.2,35.3,2.33,5,2,1,40.0,4,1.33,9,2,1,3,26.1,0,0,0,-,13
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,5,L,峰尾拓,3,●,●,●,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,18,11,0,61.1,0
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,6,,峯村幸太,3,■,■,■,nan,nan,17,12,2,70.6,58.8,4.00,2,1,0,50.0,2,0.67,10,0,1,2,5.0,6,4,0,66.7,14
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,7,,栗木勇,3,■,■,■,nan,nan,13,6,0,46.2,46.2,2.00,1,1,0,100.0,1,0.33,14,1,2,3,11.1,17,11,0,64.7,8
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,9,,小池和貴,1,nan,nan,□,nan,nan,5,1,0,20.0,20.0,1.00,0,0,0,-,0,-,5,0,0,2,10.0,4,0,0,0.0,1
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,10,L,杉山嵩樹,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,13,,酒井駿,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,14,,杉山奨弥,2,□,nan,□,nan,nan,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,8.3,0,0,0,-,0
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,16,,森崎健史,3,■,■,■,nan,nan,11,6,1,54.5,45.5,2.00,0,0,0,-,2,0.67,15,0,2,6,10.0,0,0,0,-,8
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,17,,茨木兼太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,19,,村松俊輔,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,20,,多田将希,3,■,■,■,nan,nan,0,0,0,,,-,0,0,0,-,0,-,9,0,0,2,5.6,0,0,0,-,0
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,25,,中谷光,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-22,VC長野トライデンツ,兵庫デルフィーノ,3,0,1,チーム合計,チーム合計,チーム合計,3,nan,nan,nan,nan,nan,72,36,5,50.0,43.1,12.00,8,4,1,50.0,12,4.00,73,3,8,20,10.1,45,26,0,57.8,51
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,2,,梶野喜宏,4,■,■,■,■,nan,2,1,0,50.0,50.0,0.25,0,0,0,-,0,-,16,0,0,5,7.8,0,0,0,-,1
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,3,,河戸俊亮,4,■,■,■,■,nan,8,5,0,62.5,62.5,1.25,0,0,0,-,4,1.00,11,0,1,4,9.1,1,0,0,0.0,9
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,4,L,山田翔太,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,7,,石田康祐,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,2,0,0,0,0.0,0,0,0,-,0
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,9,,本多駿,4,■,■,■,■,nan,35,14,5,40.0,25.7,3.50,3,1,1,33.3,2,0.50,14,2,3,4,20.0,47,36,0,76.6,18
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,10,,繁田康平,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,11,,片渕貴史,0,nan,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,18,L,有薗亮平,4,●,●,●,●,nan,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,17,9,0,52.9,0
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,20,,北村將,4,■,■,■,■,nan,28,13,2,46.4,39.3,3.25,0,0,0,-,0,-,19,0,0,3,3.9,19,11,0,57.9,13
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,22,,川口喬,4,■,■,■,■,nan,10,6,1,60.0,50.0,1.50,0,0,0,-,1,0.25,14,1,2,3,11.1,0,0,0,-,8
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,24,,小林空,4,■,■,■,■,nan,30,12,4,40.0,26.7,3.00,4,0,0,0.0,2,0.50,15,2,4,6,22.0,1,1,0,100.0,16
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,27,,田中絢人,1,□,nan,nan,nan,nan,0,0,0,,,-,0,0,0,-,0,-,1,0,1,0,0.0,0,0,0,-,0
2015-11-22,近畿クラブスフィーダ,東京トヨペットグリーンスパークル,1,3,0,チーム合計,チーム合計,チーム合計,4,nan,nan,nan,nan,nan,113,51,12,45.1,34.5,12.75,7,1,1,14.3,9,2.25,92,5,11,25,11.6,85,57,0,67.1,65
2015-11-22,東京トヨペットグリーンスパークル,近畿クラブスフィーダ,3,1,1,1,,伊藤優介,2,nan,nan,□,■,nan,1,1,0,100.0,100.0,0.50,0,0,0,-,3,1.50,10,1,0,4,18.0,7,2,0,28.6,5
