試合日,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率
2019-11-09,1,,ストレジェクパトリック,3,■,■,■,,,30,15,3,0.5,0.4,5.00,12,5,2,41.7,1,0.33,13,1,6,4,3.8,3,1,2,66.7
2019-11-09,2,,須貝祐介,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-09,3,,田上佑作,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-09,5,,笠利真吾,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-09,7,,栗木勇,3,■,■,■,,,15,5,4,0.3333333333333333,0.06666666666666667,1.67,0,0,0,-,0,-,9,0,2,0,-5.6,22,12,4,63.6
2019-11-09,9,,池田幸太,3,■,■,■,,,21,11,2,0.5238095238095238,0.42857142857142855,3.67,6,4,0,66.7,1,0.33,10,0,4,2,-5.0,13,4,5,50.0
2019-11-09,12,L,山本憲吾,3,●,●,●,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,22,9,6,54.5
2019-11-09,13,,椿芽久,3,■,■,■,,,1,0,0,0.0,0.0,-,0,0,0,-,2,0.67,9,0,1,1,0.0,0,0,0,-
2019-11-09,14,,矢貫龍馬,3,■,■,■,,,4,0,1,0.0,-0.25,-,0,0,0,-,1,0.33,10,0,0,2,5.0,1,0,1,50.0
2019-11-09,16,,森崎健史,3,■,■,■,,,5,4,0,0.8,0.8,1.33,0,0,0,-,0,-,8,1,2,0,6.2,1,1,0,100.0
2019-11-09,17,,松村文斗,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-09,18,L,大沢健太郎,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-09,21,,高澤和貴,3,□,□,□,,,0,0,0,,,-,0,0,0,-,0,-,4,1,0,0,25.0,0,0,0,-
2019-11-09,24,,長田翼,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-
2019-11-09,チーム合計,チーム合計,チーム合計,3,,,,,,76,35,10,0.4605263157894737,0.32894736842105265,11.67,18,9,2,50.0,5,1.67,63,3,15,9,2.4,62,27,18,58.1
