試合日,年月,チーム,相手チーム,背番号,リベロ,名前,出場数,1,2,3,4,5,アタック打数,アタック得点,アタック失点,アタック決定率,アタック効果率,アタックセット平均,バックアタック打数,バックアタック得点,バックアタック失点,バックアタック決定率,ブロック得点,ブロックセット平均,サーブ打数,サーブ得点,サーブ失点,サーブ効果,サーブ効果率,受数,サーブレシーブ成功・優,サーブレシーブ成功・良,サーブレシーブ成功率,総得点
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,2,,ドリスジェニファー,4,■,■,■,■,,23,8,2,34.8,26.1,2.00,0,0,0,-,2,0.50,15,0,1,3,3.3,0,0,0,-,10
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,3,L,吉安遥,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,4,,宇田沙織,2,□,,,□,,0,0,0,,,-,0,0,0,-,0,-,3,0,1,0,-8.3,1,0,1,50.0,0
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,5,,江畑幸子,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,6,,村上華澄,4,■,■,■,■,,15,8,1,53.3,46.7,2.00,0,0,0,-,0,-,16,1,1,6,14.1,1,0,0,0.0,9
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,8,,高相みな実,2,□,,□,,,8,2,2,25.0,0.0,1.00,0,0,0,-,1,0.50,0,0,0,0,-,4,3,0,75.0,3
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,9,,山下遥香,2,□,,□,,,0,0,0,,,-,0,0,0,-,0,-,3,0,1,1,0.0,0,0,0,-,0
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,11,,堀口あやか,4,■,■,■,■,,42,13,0,31.0,31.0,3.25,3,0,0,0.0,0,-,14,0,0,3,5.4,30,11,9,51.7,13
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,12,,清水眞衣,2,,,□,□,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,13,,津賀菜緒,4,■,■,■,■,,29,13,0,44.8,44.8,3.25,6,1,0,16.7,0,-,14,2,2,3,16.1,1,0,0,0.0,15
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,14,,島畑奈緒子,4,■,■,■,■,,3,2,0,66.7,66.7,0.50,0,0,0,-,3,0.75,21,1,1,10,15.5,0,0,0,-,6
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,17,L,筒井さやか,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,14,6,7,67.9,0
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,19,,スークソッドタナッチャ,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-12,2019-10,PFUブルーキャッツ,KUROBEアクアフェアリーズ,33,,和才奈々美,4,■,■,■,■,,21,8,0,38.1,38.1,2.00,0,0,0,-,2,0.50,11,0,1,3,4.5,18,7,8,61.1,10
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,1,,丸山紗季,3,□,,□,□,,0,0,0,,,-,0,0,0,-,0,-,6,1,1,2,20.8,0,0,0,-,1
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,3,,間橋香織,2,□,□,,,,1,1,0,100.0,100.0,0.50,0,0,0,-,0,-,3,0,0,0,0.0,3,0,1,16.7,1
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,4,L,馬場ゆりか,4,●,●,●,●,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,11,5,3,59.1,0
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,6,,綿引菜都美,4,■,■,■,■,,12,3,0,25.0,25.0,0.75,0,0,0,-,3,0.75,8,0,1,1,0.0,0,0,0,-,6
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,7,,雪丸梢,4,■,■,■,■,,9,3,2,33.3,11.1,0.75,0,0,0,-,0,-,14,0,3,3,0.0,0,0,0,-,3
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,8,,マナバットアレオナデニス,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,9,,舛田紗淑,3,,□,■,■,,18,6,2,33.3,22.2,2.00,2,0,0,0.0,2,0.67,11,0,1,2,2.3,25,11,6,56.0,8
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,10,,リーシモーン,4,■,■,■,■,,54,23,6,42.6,31.5,5.75,7,4,1,57.1,2,0.50,13,0,2,4,3.8,36,6,15,37.5,25
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,11,,杉原若葉,2,■,■,,,,9,1,0,11.1,11.1,0.50,1,0,0,0.0,0,-,5,0,0,1,5.0,14,5,4,50.0,1
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,12,,浮島杏加子,4,■,■,■,■,,38,13,3,34.2,26.3,3.25,6,2,1,33.3,0,-,8,0,1,4,9.4,0,0,0,-,13
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,13,,梅津憂理,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,14,,細沼綾,0,,,,,,0,0,0,,,-,0,0,0,-,0,-,0,0,0,0,-,0,0,0,-,0
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,15,,小西愛衣,4,■,■,■,■,,1,1,0,100.0,100.0,0.25,0,0,0,-,1,0.25,12,0,2,0,-4.2,0,0,0,-,2
2019-10-12,2019-10,KUROBEアクアフェアリーズ,PFUブルーキャッツ,16,,星加輝,1,,□,,,,0,0,0,,,-,0,0,0,-,0,-,1,0,0,0,0.0,0,0,0,-,0
2019-10-12,2019-10,日立リヴァーレ,ヴィクトリーナ姫路,1,,上坂瑠子,4,■,■,■,■,,38,12,3,31.6,23.7,3.00,4,1,0,25.0,2,0.50,13,0,0,4,7.7,34,15,10,58.8,14
